,index,MTG_TYPE,MTG_DATETIME,MTG_LOCATION,DOC_NUM_PAGES,CALL TO ORDER,ROLL CALL,PLEDGE OF ALLEGIANCE,INVOCATION,PROCLAMATIONS,COMMUNITY PARTICIPATION FORUM,CONSENT AGENDA,ANNOUNCEMENT OF NEW EMPLOYEES AND PROMOTIONS,NEW AND PROMOTED EMPLOYEES,ANNOUNCEMENT OF NEW AND PROMOTED EMPLOYEES,INTRODUCTION OF NEW OR PROMOTED EMPLOYEES,NEW AND PROMOTED EMPLOYEES,PUBLIC HEARING,ITEMS FOR COUNCIL CONSIDERATION,CITY STAFF AND COUNCIL COMMITTEE REPORTS,POTENTIAL FUTURE CITY COUNCIL ITEMS,CLOSED SESSION,ADJOURNMENT,NOTE 1,NOTE 2
0,21,regular,2019-10-07 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",3,Mayor Johnson,Recording Secretary,Council member Borges,"Bishop Joshua McLean, Church of Jesus Christ, Latter-Day Saints","•  Appreciation and Support of the Gridley Area Chamber of Commerce and Their Tuesday •  Domestic Violence Awareness Month, October 2019 (accepted by Anastacia Snyder, Night Farmer’s Market Executive Director for Catalyst)",Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.    City Council minutes dated September 16, 2019 Approval of Resolution No. 2019-R-022: A Resolution of the City Council of the City of Gridley Approving the Memorandum of Understanding Between the International Brotherhood of Electrical Workers Local 1245 Employees and the Gridley City Council Approval of Resolution No. 2019-R-023: A Resolution of the City Council of the City of Gridley Approving the Memorandum of Understanding Between the Gridley Police Officers Association and the Gridley City Council Approval of Resolution No. 2019-R-024: A Resolution of the City Council of the City of Gridley Adjusting Compensation for Management, Mid-Management, Confidential and Unrepresented Employees",,,,,,,"Acceptance of US Department of Homeland Security SAFER Grant Award Valley Oaks Estates, Tentative Subdivision Map 1-19; Applicant is proposing a 21-parcel single-family residential subdivision on three parcels totaling ±7 acres, APN: 022-230-022, -024 and -02  Determine the project is Categorically Exempt per the California Environmental Quality Act, Section 15332 (a-e), Class 32, Infill Development Projects. •  Adopt Resolution Number 2019-R-025:  A Resolution Approving Tentative Subdivision Map No. 1-19 to Subdivide Three Parcels Consisting of Approximately 7 Acres into Twenty-One (21) Parcels Consisting of One 25 Acre Parcel for a Detention Basin and Twenty (20) Parcels for a Residential Housing Development Located at the Northeast Corner of Peach Street and West Biggs Gridley Road in the Single Family Residential District (R-1)  and Residential, Low Density (RLD) General Plan Land Use Designation  (APN: 022-230-022, -024 & -025)  •  Adopt Resolution Number 2019-R-026:  A Resolution Authorizing the City Administrator to Execute a Deferred Improvement Agreement to Defer the Construction of a Portion of Road and Pedestrian Improvements on the East Side of West Biggs Gridley Road •  Adopt Resolution Number 2019-R-027:  A Resolution Authorizing the City Administrator to Execute a Landscaping, Lighting, Utility and West Biggs Gridley Road Assessment District to Provide for the Maintenance of the Subdivision Improvements and Deferred Road Improvement Costs Adoption of the Notice of Determination of the Environmental Documents Little Ave Lift Station and Force Main Project Adoption of the Notice of Determination of the Environmental Documents Waterline Replacement Project",Police Department Digital Radio System Potential Cessation of Net Metering Program Temporary Residential Housing Incentive Program #2,,"11/4/2019 11/18/2019 11/18/2019  Conference with Legal Counsel concerning existing litigation pursuant to Government Code 54959 – Blackshire vs. City of Gridley, et al, Butte County Superior Court Case No. 19CV01639","adjourning to the next regularly scheduled meeting on Monday, October 21, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., October 4, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
1,0,regular,2019-09-16 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Mayor Johnson,,None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.    City Council minutes dated September 3, 2019",,,,None,,"Public Hearing:  Applicant is proposing a 21-parcel single-family residential subdivision on three parcels totaling ±7 acres, APN: 022-230-022, -024 and -025  a)  Receive Staff Report b)  Open Public Hearing c)  Hear Public Testimony d)  Close Public Hearing e)  Determine the project is Categorically Exempt per the California Environmental Quality Act, Section 15332 (a-e), Class 32, Infill Development Projects. Adopt Resolution Number 2019-R-022:  A Resolution Approving Tentative Subdivision Map No. 1-19 to Subdivide Three Parcels Consisting of Approximately 7 Acres into Twenty-One (21) Parcels Consisting of One 25 Acre Parcel for a Detention Basin and Twenty (20) Parcels for a Residential Housing Development Located at the Northeast Corner of Peach Street and West Biggs Gridley Road in the Single Family Residential District (R-1)  and Residential, Low Density (RLD) General                         Plan Land Use Designation  (APN: 022-230-022, -024 & -025)   Adopt Resolution Number 2019-R-023:  A Resolution Authorizing the City Administrator to Execute a Deferred Improvement Agreement to Defer the Construction of a Portion of Road and Pedestrian Improvements on the East Side of West Biggs Gridley Road Adopt Resolution Number 2019-R-024:  A Resolution Authorizing the City Administrator to Execute a Landscaping, Lighting, Utility and West Biggs Gridley Road Assessment District to Provide for the Maintenance of the Subdivision Improvements and Deferred Road Improvement Costs",Program to Manage Unclaimed Cats,,Environmental Document Approval and Adoption – Little Avenue Force Main and Lift Station Improvement Project Environmental Document Approval and Adoption – Waterline Replacement Project Temporary Residential Housing Incentive Program #2 Police Department Digital Radio System 10/7/2019 10/21/2019 11/4/2019 10/7/2019,Conference with Labor Negotiators pursuant to Government Code 54956 to meet and confer with International Brotherhood of Electrical Workers and Gridley Police Officers Association,"adjourning to the next regularly scheduled meeting on Monday, October 7, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., September 13, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
2,47,amended,2019-09-03 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Councilmember Torres,"Pastor Bill Hammond, Lighthouse Tabernacle",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.  City Council minutes dated August 19, 2019Consideration and Approval of revision to the City’s Position Classification Planincluding the reclassification the Finance Business Service Supervisor Position",,,,None,,None,Police Vehicle PurchaseConsideration and Approval of Temporary Residential Housing Incentive Program #2,,,"Animal Control Program Revisions Police Department Digital Radio System 9/16/2019 10/7/2019  Conference with Labor Negotiators pursuant to Government Code 54956 to meet and confer with International Brotherhood of Electrical Workers and Gridley Police Officers Association  *Conference with Legal Counsel – Liability Claim pursuant to Government Code 54956, Claimant: Jaki Walker","adjourning to the next regularly scheduled meeting on Monday, September 16, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., August 30th, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
3,20,regular,2019-08-19 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Councilmember Crye,,None,Members of the public may address the City Council on matters not listed on the agenda. The City Council may not discuss nor take action on any community participation item brought forward by a member of the community. Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first items) under ""Items for Council Consideration"".   City Council minutes dated August 5, 2019 Approval of Resolutions 2019-R-018, 2019-R-019, 2019-R-020, and 2019-R-021 Authorizing the Levy of Assessment District Expenses for the Butte County 2019-2020 Tax Roll",,,,None,,None,Approval of Butte Subbasin Cooperation Agreement  Approval of New Playground Equipment for Vierra Park City Council Committee Assignments,,Potential Cessation of Net Metering Program Police Department Digital radio system Police Vehicle Purchase Cat Population Control Program 9/3/2019 9/3/2019 9/3/2019 9/16/2019,Conference with Labor Negotiators pursuant to Government Code 54956 to meet and confer with International Brotherhood of Electrical Workers and Gridley Police Officers Association,"adjourning to the next regularly scheduled meeting on Tuesday, September 3, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., August 16th, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.>;ridley.ca.us  and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS — In accordance with state law, it shall be the policy of this Council that no action shall betaken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by atwo-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
4,24,regular,2019-08-05 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Mayor Johnson,,None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.  City Council minutes dated July 1, 2019Appointment of two new Planning Commissioners",,,,• New Police Officer Ruben Quihuiz,,None,Approval of Letter to Butte County Board of Supervisors Opposing Hemp FarmPresentation of new software program Crime Graphic Citizen RIMSSwearing in and seating of new Council Member Quintin Crye,Potential Cessation of Net Metering Program Police Department Digital radio system,,8/19/2019 9/3/2019  Conference with Labor Negotiators pursuant to Government Code 54956 to meet and confer with International Brotherhood of Electrical Workers and Gridley Police Officers Association,"adjourning to the next regularly scheduled meeting on Monday, August 19th, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., August 2nd, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
5,42,regular,2019-07-01 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Vice Mayor Williams,"Pastor Brad Roberts, Calvary Chapel of Gridley",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.     City Council minutes dated June 17, 2019 Appointment of Paul Eckert as Finance Director effective April 6, 2019 Council Approval of Resolution No. 2019-R-017:  A Resolution of The City Council of The City of Gridley Approving Agreement No. 2CA04403 With the California Department of Forestry and Fire Protection and Authorizing the Mayor to Sign the Agreement for Services from July 1, 2019 to June 30, 2020",,,,,,None,Interviews of Candidates to fill Planning Commissioner Vacancies Council Appointment of Partial Term Councilmember,,8/5/2019 8/5/2019 8/5/2019 8/19/2019 Seating of New Councilmember Hilbers Residential Development Appointment of Planning Commissioners Potential Cessation of Net Metering Program,None,"adjourning to the next regularly scheduled meeting on Monday, July 15th, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., June 28, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
6,3,regular,2019-06-17 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Councilmember Borges,"Pastor Brad Roberts, Calvary Chapel of Gridley",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.  City Council minutes dated June 3, 2019   Approval of Resolution No. 2019-R-014:  A Resolution of The City Council of The City of Gridley Adopting Obligations to Reimburse the State Water Board for Project Funds Provided for The Gridley Waterline Replacement Project",,,,,,None,Purchase and Installation of new Vierra Park Playground Equipment Approve Resolution No. 2019-R-015: A Resolution of The City Council of The City of Gridley Establishing The 2019-2020 Appropriations Limit for The City of Gridley and Resolution 2019-R-016: A Resolution of The City Council of The City of Gridley Adopting A Budget for Fiscal Year 2019-2020    Council Appointment of Partial Term Councilmember,,Interview Planning Commissioners (Special Meeting) Seating of New Councilmember Hilbers Residential Development Appointment of Planning Commissioners Potential Cessation of Net Metering Program 7/15/2019 7/15/2019 8/5/2019 8/5/2019 8/19/2019,"Conference with Legal Counsel concerning existing litigation pursuant to Government Code 54959 – Blackshire vs. City of Gridley, et al, Butte County Superior Court Case No. 19CV01639","adjourning to the next regularly scheduled meeting on Monday, July 1, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., June 14, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
7,13,regular,2019-06-03 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Councilmember Zachary Torres,"Bishop Pono Nako, Church of Jesus Christ, Latter-Day Saints",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.      City Council minutes dated May 20, 2019 Approval of Utilities Director Employment Agreement Approval of 1) Resolution No. 2019-R-010: A Resolution of The City Council of The City of Gridley Pledging Revenues and Funds at Levels Sufficient to Meet Obligations to The State Water Board for The Gridley Waterline Replacement Project and 2) Resolution No. 2019-R-011: A Resolution of The City Council of The City of Gridley Adopting Obligations to Reimburse the State Water Board for Project Funds Provided for The Gridley Waterline Replacement Project  Review and Approval of Resolution No. 2019-R-012: A Resolution of The City Council of The City of Gridley Authorizing the City Administrator to sign the Federal Aid Master Agreement No. 03-5140F15 and Program Supplement No. F004 for Project CML-5140(006) on the City’s Behalf",,,,,,None,City Council acceptance of Resolution No. 2019-R-013:  A Resolution of The Gridley City Council Approving A Change in Street Names From “Industrial Park Drive” To “Hall Drive” And “Elaine Court” To “Paradise Way” Located in The City of Gridley Industrial Park FY 2019-20 Annual Budget Public Presentation #2 Council Acceptance of the Pavement Management Program (PMP) Report,,Adoption of Budget Approval of New Playground Equipment for Vierra Park Appointment of New Partial Term Councilmember Potential Cancelation of July 1 Council Meeting Appointment of Planning Commissioners Potential Cessation of Net Metering Program 6/17/2019 6/17/2019 6/17/2019 6/17/2019 7/15/2019 7/15/2019,None,"adjourning to the next regularly scheduled meeting on Monday, June 17th, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., May 31st, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
8,14,amended,2019-05-20 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Mayor Bruce Johnson,"Pastor Branden Heskett, Christian Life Church of Gridley",None *,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.     City Council minutes dated May 6th, 2019 Review and Approval of Resolution No. 2019-R-008: A Resolution of The City Council of The City of Gridley Approving the Attestation of Veracity for the 2018 Power Source Disclosure Report and Submission of The Report to The California Energy Commission   Opt-out of CalPERS for Non-Union Employees Approval of Resolution No. 2019-R-009: A Resolution of The City Council of The City of Gridley Authorizing the City Administrator to Amend The 2019-20 Budget to Incorporate A List of Projects Funded by SB 1: The Road Repair and Accountability Act",,•  Swearing in of Officer Devin Pasley,,,•  Swearing in of Officer Devin Pasley,None,Approval of New Playground Equipment for Vierra Park FY 2019-20 Annual Budget Introduction Council Appointment of Partial Term Councilmember Selection Process for Volunteer Planning Commissioners,,,"Budget presentation Adoption of Budget Potential Cancelation of July 1 Council Meeting Appointment of Planning Commissioners Potential Cessation of Net Metering Program 6/3/2019 6/17/2019 6/17/2019 7/15/2019 7/15/2019   1 1 Conference with Legal Counsel – Anticipated Litigation Re Claim of Patrick Blackshire – Pursuant to Government Code 54959  Conference with Labor Negotiators pursuant to Government Code 54956 to meet and confer with International Brotherhood of Electrical Workers and Gridley Police Officers Association  Government Code 54757 - Public Employee Performance Evaluation, Utilities Director","adjourning to the next regularly scheduled meeting on Monday, June 3rd, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., May 17th, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
9,19,regular,2019-05-06 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Vice Mayor Williams,Pastor Ed Lucas of the Gridley Christian Church,None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.     City Council minutes dated April 15th, 2019 Approval of Resolution No. 2019-R-006:  A Resolution of the City Council of the City of Gridley Adopting the Amended Housing Rehabilitation Program Guidelines and the First Time Homebuyer Program Guidelines  Adoption of Resolution No. 2019-R-007:  A Resolution of the City Council of the City of Gridley Authorizing and Designating City Representatives to Vote the City’s Interests in Governance Agreements Associated with City’s Participation in Programs, Projects and Services as a Member of the Northern California Power Agency",,,,,,None,Council Appointment Process of Partial Term Councilmember,•  FEMA Update by Administrator Eckert,,"Approval of new playground equipment for Vierra Park Appointment of Councilmember to fill vacancy Addition of ICMA 401 Plan Budget presentation Discuss process to select Planning Commissioners Budget presentation Appointment of Planning Commissioners Adoption of Budget Finance Director selection process CAL Fire Contract to add one Additional Firefighter Potential Cessation of Net Metering Program Potential Cancelation of July 1 Council Meeting 5/20/2019 5/20/2019 5/20/2019 5/20/2019 5/20/2019 6/3/2019 6/3/2019 6/17/2019 6/17/2019 6/17/2019 6/17/2019 6/17/2019  Government Code 54959 – Conference with Legal Counsel to Discuss Existing Litigation – Claim NCWA No. 73274, by Mr. Jeffrey Wiles   Closed session to discuss and consider recruitment and employment of public employee position, Finance Director, pursuant to Government Code 54957 Conference with Labor Negotiators pursuant to Government Code 54956 to meet and confer with International Brotherhood of Electrical Workers and Gridley Police Officers Association","adjourning to the next regularly scheduled meeting on Monday, May 20th, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., May 3rd, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
