city,date,meeting_type,committee,url,doc_type,cancelled,doc_format
Biggs,10/8/19,Regular,City Council,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2019-Agendas-Minutes/10-8-19 Revised Regular Mtg Agenda.pdf,Revised Agenda,,pdf
Biggs,10/8/19,Regular,City Council,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/2019-Agendas-Minutes/10-8-19 Regular Mtg Agenda.pdf,Agenda,,pdf
Live Oak,10/2/19,Regular,City Council,http://liveoakca.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1137&Inline=True,Agenda,,pdf
Live Oak,9/18/19,Regular,City Council,http://liveoakca.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1136&Inline=True,Agenda,,pdf
Live Oak,9/17/19,Regular,Planning Commission,,Agenda,TRUE,pdf
Live Oak,7/16/19,Regular,Planning Commission,https://www.liveoakcity.org/index.php/downloads/planning-commission/planning-commission-agendas/planning-commission-agendas-2019/2675-planning-commission-meeting-july-16-2019/file,Agenda,,pdf
Gridley,10/7/19,Regular,City Council,http://gridley.ca.us/public/uploads/pdfs/10-7-19_agenda.pdf,Agenda,,pdf
Gridley,9/16/19,Regular,City Council,http://gridley.ca.us/public/uploads/pdfs/9-16-19_agenda1.pdf,Agenda,,pdf
Gridley,9/18/19,Regular,Planning Commission,http://gridley.ca.us/public/uploads/pdfs/PC_AGENDA_9-18-19.pdf,Agenda,TRUE,pdf
Gridley,8/14/19,Regular,Planning Commission,http://gridley.ca.us/public/uploads/pdfs/08-14-19_PC_Agenda1.pdf,Agenda,,pdf
Biggs,10/8/19,Regular,City Council,,Minutes,,pdf
Biggs,9/10/19,Regular,City Council,,Minutes,,pdf
Biggs,8/13/19,Regular,City Council,https://www.biggs-ca.gov/documents/Government/Agendas--Minutes/8-13-19 Minutes.pdf,Minutes,,pdf
Biggs,7/9/19,Regular,City Council,https://www.biggs-ca.gov/documents/7-9-19 Minutes.pdf,Minutes,,pdf
Live Oak,10/2/19,Regular,City Council,,Minutes,,pdf
Live Oak,9/18/19,Regular,City Council,,Minutes,,pdf
Gridley,10/7/19,Regular,City Council,,Minutes,,pdf
Gridley,9/16/19,Regular,City Council,,Minutes,,pdf
Gridley,8/19/19,Regular,City Council,http://gridley.ca.us/public/uploads/pdfs/8-19-19_minutes.pdf,Minutes,,pdf
Gridley,8/5/19,Regular,City Council,http://gridley.ca.us/public/uploads/pdfs/8-5-19_minutes.pdf,Minutes,,pdf
Gridley,7/10/19,Regular,Planning Commission,,Minutes,,pdf
Gridley,8/8/19,Regular,Planning Commission,http://gridley.ca.us/public/uploads/pdfs/8-8-18_PC_Minutes.pdf,Minutes,,pdf
