subdomains,type,name,state,country
a2gov.legistar.com,municipality,Ann Arbor,MI,United States
abcwua.legistar.com,water,Albuquerque Bernalillo County Water Utility Authority,NM,United States
accessfayetteville.legistar.com,municipality,Fayetteville,AR,United States
actransit.legistar.com,transportation,Alameda-Contra Costa Transit District,CA,United States
adcogov.legistar.com,county,Adams,CO,United States
alachua.legistar.com,county,Alachua,FL,United States
alameda.legistar.com,municipality,Alameda,CA ,United States
albemarle.legistar.com,county,Albemarle,VA,United States
alexandria.legistar.com,municipality,Alexandria,VA,United States
alleghenycounty.legistar.com,county,Allegheny,PA,United States
allentownpa.legistar.com,municipality,Allentown,PA,United States
annapolismd.legistar.com,municipality,Annapolis,MD,United States
apachejunction.legistar.com,municipality,Apache Junction,AZ,United States
ashecounty.legistar.com,county,Ashe,NC,United States
aurora-il.legistar.com,municipality,Aurora,IL,United States
austintexas.legistar.com,municipality,Austin,TX,United States
baldwincountyal.legistar.com,county,Baldwin,AL,United States
baltimore.legistar.com,municipality,Baltimore,MD,United States
barrie.ca.legistar.com,municipality,Barrie,ON,Canada
bart.legistar.com,transportation,San Francisco Bay Area Rapid Transit District,CA,United States
belleairfl.legistar.com,municipality,Belleair,FL,United States
bellevue.legistar.com,municipality,Bellevue,WA,United States
blaine.legistar.com,municipality,Blaine,MN,United States
blounttn.legistar.com,county,Blount,TN,United States
boerne.legistar.com,municipality,Bouerne,TX,United States
brevardfl.legistar.com,county,Brevard,FL,United States
brightonco.legistar.com,municipality,Brighton,CO,United States
brokenarrow.legistar.com,municipality,Broken Arrow,OK,United States
broward.legistar.com,county,Broward,FL,United States
brunswickcounty.legistar.com,county,Brunswick,VA,United States
burlingameca.legistar.com,municipality,Burlingame,CA,United States
cabq.legistar.com,municipality,Albuquerque,NM,United States
camas.legistar.com,municipality,Camas,WA,United States
campo.legistar.com,regional transportation planning organization,NC Capital Area Metropolitan Planning Organization,NC,United States
canton.legistar.com,municipality,Canton,GA,United States
carrboro.legistar.com,municipality,Carrboro,NC,United States
carrolltontx.legistar.com,municipality,Carrollton,TX,United States
carson.legistar.com,municipality,Carson,CA,United States
castlerock-co.legistar.com,municipality,Castle Rock,CO,United States
cathedralcity.legistar.com,municipality,Cathedral City,CA,United States
chapelhill.legistar.com,municipality,Chapel Hill,NC,United States
charlottenc.legistar.com,municipality,Charlotte,NC,United States
chathamnc.legistar.com,county,Chatham,NC,United States
cherokee.legistar.com,tribal council,Cherokee,OK,United States
chicago.legistar.com,municipality,Chicago,IL,United States
chicagoparkdistrict.legistar.com,park district,Chicago Park District,IL,United States
chulavista.legistar.com,municipality,Chula Vista,CA,United States
ci-ssf-ca.legistar.com,municipality,South San Francisco,CA,United States
cityfortbragg.legistar.com,municipality,Fort Bragg,CA,United States
cityofappleton.legistar.com,municipality,Appleton,WI,United States
cityofbrookings.legistar.com,municipality,Brookings,SD,United States
cityofcleveland.legistar.com,municipality,Cleveland,OH,United States
cityofcommerce.legistar.com,municipality,Commerce,CA,United States
cityofdallas.legistar.com,municipality,Dallas,TX,United States
cityofdeerpark.legistar.com,municipality,Deer Park,TX,United States
cityofedgewater.legistar.com,municipality,Edgewater,FL,United States
cityoffayetteville.legistar.com,municipality,Fayetteville,NC,United States
cityoffoley.legistar.com,municipality,Foley,AL,United States
cityofgreen.legistar.com,municipality,Green,OH,United States
cityofkeller.legistar.com,municipality,Keller,TX,United States
cityoflacrosse.legistar.com,municipality,La Crosse,WI,United States
cityoflewisville.legistar.com,municipality,Lewisville,TX,United States
cityofmalden.legistar.com,municipality,Malden,MA,United States
cityofmerced.legistar.com,municipality,Merced,CA,United States
cityofnorthport.legistar.com,municipality,Northport,FL,United States
cityofracine.legistar.com,municipality,Racine,WI,United States
cityofseguintx.legistar.com,municipality,Seguin,TX,United States
cityoftacoma.legistar.com,municipality,Tacoma,WA,United States
clearwater.legistar.com,municipality,Clearwater,FL,United States
cobergennj.legistar.com,county,Bergen,NJ,United States
coconutcreek.legistar.com,municipality,Coconut Creek,FL,United States
collinsville.legistar.com,municipality,Collinsville,IL,United States
coloradosprings.legistar.com,municipality,Colorado Springs,CO,United States
columbus.legistar.com,municipality,Columbus,OH,United States
commerce.legistar.com,municipality,Commerce City,CO,United States
concordnh.legistar.com,municipality,Concord,NH,United States
cook-county.legistar.com,county,Cook,IL,United States
coppell.legistar.com,municipality,Coppell,TX,United States
coralgables.legistar.com,municipality,Coral Gables,FL,United States
corona.legistar.com,municipality,Corona,CA,United States
