,city,date,committee,doc_format,url,doc_type
0,Mountain View,2019-10-30,Bicycle/Pedestrian Advisory Committee,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=672774&GUID=9464CF51-AA41-4428-9CE8-7F76E3CAD8D1,Agenda
1,Mountain View,2019-10-29,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=655823&GUID=2FA90109-5369-4C4A-865A-FF9098E18349,Agenda
2,Mountain View,2019-10-23,Environmental Planning Commission,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=726929&GUID=5C940296-0809-4998-8B2A-E3980DFA3433,Agenda
3,Mountain View,2019-10-22,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=655822&GUID=19E5E82B-9864-49CC-82E7-0D7ADC9AB130,Agenda
4,Mountain View,2019-10-16,Environmental Planning Commission,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=724547&GUID=7415AF21-4DA7-4502-927F-226ED7B9BB97,Agenda
5,Mountain View,2019-10-16,Performing Arts Committee,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=673924&GUID=C4575B1E-EA0E-46DC-A4D0-5FD4036A1F93,Agenda
6,Mountain View,2019-10-15,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=655821&GUID=01F2944D-DB91-4DAD-AE62-5EBF94C03C97,Agenda
7,Mountain View,2019-10-14,Community Stabilization and Fair Rent Act (CSFRA) Council Ad-Hoc Subcommittee,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=722584&GUID=E588ABF0-BC74-4A87-B1DE-83E65317897E,Agenda
8,Mountain View,2019-10-12,Environmental Planning Commission,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=720714&GUID=81A38529-F2F6-4910-B7E0-E8495455D1A3,Agenda
9,Mountain View,2019-10-09,Parks and Recreation Commission and Urban Forestry Board,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=724432&GUID=12FC6599-4545-478C-B5FF-A5603421AA31,Agenda
10,Mountain View,2019-10-07,Rental Housing Committee,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=713539&GUID=79617810-12D7-4DB5-974D-C88D5056AF80,Agenda
11,Mountain View,2019-10-03,Human Relations Commission,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=706249&GUID=FCB59DD3-C97D-471B-A1E8-278B039A92AD,Agenda
12,Mountain View,2019-10-02,Environmental Planning Commission,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=722753&GUID=86CB9E6D-B36B-4330-873B-6D66B77CCEDB,Agenda
13,Mountain View,2019-10-01,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=655820&GUID=C6F15671-048A-49A5-89AC-88497E7E2E9A,Agenda
14,Mountain View,2019-10-01,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=655820&GUID=C6F15671-048A-49A5-89AC-88497E7E2E9A,Minutes
15,Mountain View,2019-09-25,Bicycle/Pedestrian Advisory Committee,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=722247&GUID=40C0FE15-700F-4D9D-8F0B-96A94261FC5E,Agenda
16,Mountain View,2019-09-24,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=655819&GUID=0B6F6A2E-1B6F-4591-9DC5-368699400C7F,Agenda
17,Mountain View,2019-09-24,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=655819&GUID=0B6F6A2E-1B6F-4591-9DC5-368699400C7F,Minutes
18,Mountain View,2019-09-18,Performing Arts Committee,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=673923&GUID=1A962F7D-356A-4959-BE46-0B8BEB751C02,Agenda
19,Mountain View,2019-09-18,Performing Arts Committee,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=673923&GUID=1A962F7D-356A-4959-BE46-0B8BEB751C02,Minutes
20,Mountain View,2019-09-17,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=713193&GUID=6BF5FA88-E42C-430A-83C0-98952211FAA5,Agenda
21,Mountain View,2019-09-17,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=713193&GUID=6BF5FA88-E42C-430A-83C0-98952211FAA5,Minutes
22,Mountain View,2019-09-16,Rental Housing Committee,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=713534&GUID=F9A48C6B-8C31-42B3-86B7-8DCEF767BA56,Agenda
23,Mountain View,2019-09-16,Rental Housing Committee,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=713534&GUID=F9A48C6B-8C31-42B3-86B7-8DCEF767BA56,Minutes
24,Mountain View,2019-09-16,Library Board,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=718329&GUID=24BC0502-6B7F-4F93-80AA-AD1EC80C1863,Minutes
25,Mountain View,2019-09-11,Parks and Recreation Commission and Urban Forestry Board,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=706568&GUID=EC4F67F3-A7A6-4948-B837-768C6D6A92D2,Agenda
26,Mountain View,2019-09-10,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=655818&GUID=89A35E64-8550-4E77-BDB7-1A021833212E,Agenda
27,Mountain View,2019-09-10,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=655818&GUID=89A35E64-8550-4E77-BDB7-1A021833212E,Minutes
28,Mountain View,2019-09-05,Human Relations Commission,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=706243&GUID=32146660-1F88-43C9-A51C-1FD5268CC3A2,Agenda
29,Mountain View,2019-09-04,Environmental Planning Commission,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=672775&GUID=F3E4225D-6AB4-4597-B227-C6BE0E7D2FAF,Agenda
30,Mountain View,2019-09-04,Community Stabilization and Fair Rent Act (CSFRA) Council Ad-Hoc Subcommittee,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=715539&GUID=F224FCF4-B075-423A-85B0-4B6ABBE68757,Agenda
31,Mountain View,2019-09-03,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=655817&GUID=9DDF6BF9-136C-45E8-A14E-BC00FDB3A802,Agenda
32,Mountain View,2019-09-03,City Council,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=655817&GUID=9DDF6BF9-136C-45E8-A14E-BC00FDB3A802,Minutes
33,Mountain View,2019-08-28,Bicycle/Pedestrian Advisory Committee,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=672773&GUID=627628D7-39A1-4CEB-A62A-85B7A7EB9A97,Agenda
34,Mountain View,2019-08-21,Performing Arts Committee,pdf,https://mountainview.legistar.com/View.ashx?M=A&ID=673922&GUID=5C078859-C67E-4BA0-98B2-90BF19D00F8E,Agenda
35,Mountain View,2019-08-21,Performing Arts Committee,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=673922&GUID=5C078859-C67E-4BA0-98B2-90BF19D00F8E,Minutes
36,Mountain View,2019-08-19,Library Board,pdf,https://mountainview.legistar.com/View.ashx?M=M&ID=713127&GUID=649CAA28-7D0D-4955-A6FA-3ED9BAA49AD9,Minutes
