,city,date,committee,doc_format,url,doc_type
0,San Francisco,2019-10-30,Rules Committee,pdf,https://sfgov.legistar.com/View.ashx?M=A&ID=733699&GUID=568AC685-0C1C-45C7-BD31-23BA415FF8A1,Agenda
1,San Francisco,2019-10-30,Budget and Finance Committee,pdf,https://sfgov.legistar.com/View.ashx?M=A&ID=732880&GUID=75782643-E5D7-41C5-B3F9-0A238BBA73E0,Agenda
2,San Francisco,2019-10-29,Board of Supervisors,pdf,https://sfgov.legistar.com/View.ashx?M=A&ID=734413&GUID=6E79529B-2953-4CEA-9027-0808DA7B54E3,Agenda
3,San Francisco,2019-10-28,Land Use and Transportation Committee,pdf,https://sfgov.legistar.com/View.ashx?M=A&ID=732723&GUID=2CA863BF-E222-44FD-AAB8-24BDDA62330D,Agenda
4,San Francisco,2019-10-28,Rules Committee,pdf,https://sfgov.legistar.com/View.ashx?M=A&ID=732865&GUID=68C8EA5B-37C5-4D51-8C5D-5FD0E01DD818,Agenda
5,San Francisco,2019-10-24,Public Safety and Neighborhood Services Committee,pdf,https://sfgov.legistar.com/View.ashx?M=A&ID=726819&GUID=ADD5DCD4-E2B0-4CED-A3B9-6FB131064790,Agenda
6,San Francisco,2019-10-23,Government Audit and Oversight Committee,pdf,https://sfgov.legistar.com/View.ashx?M=A&ID=726818&GUID=6424850A-84E1-4410-AC34-E6A56B390A31,Agenda
7,San Francisco,2019-10-23,Government Audit and Oversight Committee,pdf,https://sfgov.legistar.com/View.ashx?M=M&ID=726818&GUID=6424850A-84E1-4410-AC34-E6A56B390A31,Minutes
8,San Francisco,2019-10-23,Budget and Finance Committee,pdf,https://sfgov.legistar.com/View.ashx?M=A&ID=727111&GUID=826292D2-42D0-4768-A1B1-F4CBE887BDAA,Agenda
9,San Francisco,2019-10-23,Budget and Finance Committee,pdf,https://sfgov.legistar.com/View.ashx?M=M&ID=727111&GUID=826292D2-42D0-4768-A1B1-F4CBE887BDAA,Minutes
10,San Francisco,2019-10-22,Board of Supervisors,pdf,https://sfgov.legistar.com/View.ashx?M=A&ID=727126&GUID=ED4A9262-2004-421E-AB5C-AEC9FEA3B882,Agenda
11,San Francisco,2019-10-22,Board of Supervisors,pdf,https://sfgov.legistar.com/View.ashx?M=M&ID=727126&GUID=ED4A9262-2004-421E-AB5C-AEC9FEA3B882,Minutes
12,San Francisco,2019-10-21,Land Use and Transportation Committee,pdf,https://sfgov.legistar.com/View.ashx?M=A&ID=726809&GUID=DEEE93B7-7CA0-488C-A861-06FBBB7FFC3B,Agenda
13,San Francisco,2019-10-21,Land Use and Transportation Committee,pdf,https://sfgov.legistar.com/View.ashx?M=M&ID=726809&GUID=DEEE93B7-7CA0-488C-A861-06FBBB7FFC3B,Minutes
14,San Francisco,2019-10-21,Rules Committee,pdf,https://sfgov.legistar.com/View.ashx?M=A&ID=726475&GUID=588BBFDB-1DCF-4EE2-9551-E4A3404000F4,Agenda
15,San Francisco,2019-10-21,Rules Committee,pdf,https://sfgov.legistar.com/View.ashx?M=M&ID=726475&GUID=588BBFDB-1DCF-4EE2-9551-E4A3404000F4,Minutes
16,San Francisco,2019-10-18,Public Safety and Neighborhood Services Committee,pdf,https://sfgov.legistar.com/View.ashx?M=A&ID=725266&GUID=8A36A89E-0CF6-438D-B218-9C50475E30DD,Agenda
