,city,date,committee,doc_format,url,doc_type
0,San Jose,2019-11-06,Parks and Recreation Commission,pdf,https://sanjose.legistar.com/View.ashx?M=A&ID=734736&GUID=EE36CD9B-1B54-4C52-9941-5AF7CD9B715C,Agenda
1,San Jose,2019-11-06,Downtown Parking Board,pdf,https://sanjose.legistar.com/View.ashx?M=A&ID=734739&GUID=B3B45734-5594-49C6-9CEA-59A496560ACF,Agenda
2,San Jose,2019-11-05,City Council,pdf,https://sanjose.legistar.com/View.ashx?M=A&ID=709102&GUID=94B510B7-A034-4DC1-92BC-B57AFE6D0025,Agenda
3,San Jose,2019-11-04,Bicycle Pedestrian Advisory Committee,pdf,https://sanjose.legistar.com/View.ashx?M=A&ID=732697&GUID=0101492F-A3A4-4693-A83F-6A3866BC76F8,Agenda
4,San Jose,2019-11-04,Airport Commission,pdf,https://sanjose.legistar.com/View.ashx?M=A&ID=734738&GUID=7978B222-DA7D-4785-8726-228DAF3D4A44,Agenda
5,San Jose,2019-10-31,Miscellaneous Agendas,pdf,https://sanjose.legistar.com/View.ashx?M=A&ID=732542&GUID=71E5E4BB-6FAB-42B4-B64C-0C5ACB5C7EB5,Agenda
6,San Jose,2019-10-30,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,pdf,https://sanjose.legistar.com/View.ashx?M=A&ID=709140&GUID=148AEC55-214C-4B3E-82CC-633BC9A72471,Agenda
7,San Jose,2019-10-30,City Council,pdf,https://sanjose.legistar.com/View.ashx?M=A&ID=734737&GUID=7FBC6FA3-FEE6-45CE-94EA-D38BD183EC63,Agenda
8,San Jose,2019-10-30,Planning Director's Hearing,pdf,https://sanjose.legistar.com/View.ashx?M=A&ID=733988&GUID=11138243-41C5-4829-9618-914AFE5D056C,Agenda
9,San Jose,2019-10-29,City Council,pdf,https://sanjose.legistar.com/View.ashx?M=A&ID=709101&GUID=D3E683E7-A110-486A-A32C-2979A4098BF8,Agenda
10,San Jose,2019-10-28,Youth Commission,pdf,https://sanjose.legistar.com/View.ashx?M=A&ID=726916&GUID=A499EF7E-5E1F-4925-8483-0941AEC79E2E,Agenda
