,city,date,committee,doc_format,url,doc_type
0,San Mateo County,2019-10-23,BOARD OF SUPERVISORS,pdf,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=722165&GUID=E9BD4EE8-F045-4863-85CB-6DF5723F95FD,Agenda
1,San Mateo County,2019-10-22,BOARD OF SUPERVISORS,pdf,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691902&GUID=B27559D0-5FF7-4C7E-A97F-672D2FC76CC6,Agenda
2,San Mateo County,2019-10-08,BOARD OF SUPERVISORS,pdf,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691900&GUID=C79755CF-8CA1-4802-A852-72663741905B,Agenda
3,San Mateo County,2019-10-08,BOARD OF SUPERVISORS,pdf,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691900&GUID=C79755CF-8CA1-4802-A852-72663741905B,Minutes
4,San Mateo County,2019-10-03,PARKS COMMISSION,pdf,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691917&GUID=92599002-7B3B-4507-9BD9-2A48ED468DD0,Agenda
5,San Mateo County,2019-09-24,BOARD OF SUPERVISORS,pdf,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691899&GUID=46D78A37-A14C-41A3-BE22-A3D76BEAB76A,Agenda
6,San Mateo County,2019-09-24,BOARD OF SUPERVISORS,pdf,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691899&GUID=46D78A37-A14C-41A3-BE22-A3D76BEAB76A,Minutes
7,San Mateo County,2019-09-17,BOARD OF SUPERVISORS,pdf,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691910&GUID=F8C970C7-70D1-4E0A-9DBC-84371B11116F,Agenda
8,San Mateo County,2019-09-17,BOARD OF SUPERVISORS,pdf,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691910&GUID=F8C970C7-70D1-4E0A-9DBC-84371B11116F,Minutes
9,San Mateo County,2019-08-06,BOARD OF SUPERVISORS,pdf,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691898&GUID=5911F13C-2EFC-43EA-91B3-88054946B27D,Agenda
10,San Mateo County,2019-08-06,BOARD OF SUPERVISORS,pdf,https://sanmateocounty.legistar.com/View.ashx?M=M&ID=691898&GUID=5911F13C-2EFC-43EA-91B3-88054946B27D,Minutes
11,San Mateo County,2019-08-01,PARKS COMMISSION,pdf,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691916&GUID=E95BE2CC-BA16-4C85-85F9-E2AFFB8F0F18,Agenda
12,San Mateo County,2019-07-23,BOARD OF SUPERVISORS,pdf,https://sanmateocounty.legistar.com/View.ashx?M=A&ID=691897&GUID=2C38EC6B-8C7F-4E74-B670-E604D5D84CDF,Agenda
