,city,date,committee,doc_format,url,doc_type
0,Santa Clara,11/7/2019,Historical & Landmarks Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=642861&GUID=0CDAFFA8-4F87-4185-8063-01745D90F270,Agenda
1,Santa Clara,10/29/2019,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=640668&GUID=E9E24C3B-6C51-4F06-9434-67855363A001,Agenda
2,Santa Clara,10/28/2019,Bicycle & Pedestrian Advisory Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=715542&GUID=035D68CD-3828-49D7-B6BC-C1414E46CEEF,Agenda
3,Santa Clara,10/28/2019,Senior Advisory Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=695505&GUID=41525080-7130-46C7-B934-2D3928A6BF25,Agenda
4,Santa Clara,10/24/2019,Governance and Ethics Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=719961&GUID=6B44FFB7-DD70-4AC1-8060-0D19E0A0A28C,Agenda
5,Santa Clara,10/23/2019,Planning Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=644897&GUID=EE689F88-4575-4D65-91DE-9584E0BB45A5,Agenda
6,Santa Clara,10/22/2019,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=715242&GUID=E6D6A9ED-D613-40E5-B253-2AE41F36AB43,Agenda
7,Santa Clara,10/22/2019,Council and Authorities Concurrent Meeting,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=732592&GUID=24C61F03-A283-45B7-804C-97F2027C29AD,Agenda
8,Santa Clara,10/17/2019,Charter Review Committee,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=712913&GUID=B0D169F5-977C-4313-AEE7-3FCBA8961797,Agenda
9,Santa Clara,10/15/2019,Parks & Recreation Commission,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=695504&GUID=D86B7BFA-5FEC-4089-952E-8B6CA2037D44,Agenda
10,Santa Clara,10/15/2019,Board of Library Trustees,pdf,https://santaclara.legistar.com/View.ashx?M=A&ID=725358&GUID=44C39817-F5AF-41E8-90B3-6E74CC882D54,Agenda
