,city,date,committee,doc_format,url,doc_type
0,South San Francisco,2019-10-30,General Plan Update Community Advisory Committee,pdf,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=723376&GUID=C33B3078-30A7-459B-B83C-14365D70953E,Agenda
1,South San Francisco,2019-10-23,City Council,pdf,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688735&GUID=B3F479C7-EA02-4F17-95AC-B52D98BAD692,Agenda
2,South San Francisco,2019-10-23,Successor Agency to the Redevelopment Agency,pdf,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=719498&GUID=A1988C59-5172-4A62-BC6F-BC0F2696E033,Agenda
3,South San Francisco,2019-10-23,Special City Council,pdf,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=723146&GUID=702A8EE0-BE96-4A40-AD0E-FEAC5A2B71FA,Agenda
4,South San Francisco,2019-10-22,Special City Council,pdf,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=719476&GUID=F3284FE5-5A4C-46DB-A988-6E03A2C22A1D,Agenda
5,South San Francisco,2019-10-21,NOTICE OF MEETING CANCELLATION,pdf,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=722854&GUID=ABF9E73E-E5B9-4B1A-B268-444541B8E7D8,Agenda
6,South San Francisco,2019-10-17,Planning Commission,pdf,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=712775&GUID=52CCBA0D-9FBD-4983-A330-19EBE538A5BE,Agenda
7,South San Francisco,2019-10-15,Special Measure W Citizens' Oversight Committee,pdf,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=726271&GUID=8B23D1FA-9E0E-4865-BB4C-AD4845B6A5B4,Agenda
8,South San Francisco,2019-10-09,City Council,pdf,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=688734&GUID=DFCBED35-6B54-4953-9517-6095B92539F4,Agenda
9,South San Francisco,2019-10-09,Special City Council,pdf,https://ci-ssf-ca.legistar.com/View.ashx?M=A&ID=723145&GUID=C4FCBA8A-771D-491C-8D24-14FF6E30D7B8,Agenda
