,city,date,committee,doc_format,url,doc_type
0,Alameda,2019-11-05,City Council,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=734513&GUID=F3B1A6A2-ECE9-42DF-9DFC-DA7C54E70812,Agenda
1,Alameda,2019-10-30,Special Event Recording,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=711619&GUID=0C304B76-B862-4B38-BC2F-A30065A8E696,Agenda
2,Alameda,2019-10-29,Alameda Unified School District Board of Education,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=681610&GUID=E9E6B82E-9DFC-439E-8838-4C6FD74842E2,Agenda
3,Alameda,2019-10-28,Planning Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=713480&GUID=AC64998A-3B43-4886-A430-650302678D71,Agenda
4,Alameda,2019-10-28,Pension Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=683315&GUID=4488B599-D39E-43AE-8BD1-47BB45892EE0,Agenda
5,Alameda,2019-10-24,Social Service Human Relations Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=726410&GUID=94479F1E-5D22-4197-ADFE-25D3333652D2,Agenda
6,Alameda,2019-10-21,Rent Review Advisory Committee,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=726000&GUID=986E09F7-D069-4EDA-AF19-16BC68B2D2E1,Agenda
7,Alameda,2019-10-21,Public Utilities Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=653885&GUID=7D0E51FA-8BDA-4FF5-92F9-D9C34C6EAA01,Agenda
8,Alameda,2019-10-21,Zoning Administrator Hearing,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=656297&GUID=F3D5CC01-2F01-4DAA-B6EE-51FCB0D143CE,Agenda
9,Alameda,2019-10-17,Alameda Unified School District Board of Education,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=681609&GUID=C9BB813F-A437-4FCA-AA1C-446C4F1DB16E,Agenda
10,Alameda,2019-10-16,City of Alameda - AC Transit Interagency Liaison Committee (ILC),pdf,https://alameda.legistar.com/View.ashx?M=A&ID=725834&GUID=B62B8B30-4E59-4FAC-9584-933460DC6B94,Agenda
11,Alameda,2019-10-15,City Council,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=724561&GUID=A02EA69F-A4ED-4457-B419-1CEE66165DA9,Agenda
12,Alameda,2019-10-14,Planning Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=713479&GUID=2FEC5258-7D8D-47DA-9833-8F113CC0D45C,Agenda
13,Alameda,2019-10-14,City Council,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=722181&GUID=E92E9C75-3847-4D80-B9F1-27BF38CA7F7B,Agenda
14,Alameda,2019-10-10,Recreation and Park Commission,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=653995&GUID=E03F8652-97EE-4430-AF05-DE426E08D55E,Agenda
15,Alameda,2019-10-09,Commission on Disability,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=723126&GUID=63A28C82-AD03-4831-A7FE-5C3850A6140F,Agenda
16,Alameda,2019-10-08,Recreation and Park Commission,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=723279&GUID=7D0D4453-521E-4B4B-90C6-5D0BC43429D8,Agenda
17,Alameda,2019-10-07,Open Government Commission,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=672186&GUID=E87726C6-7127-4FD4-9C5D-5A2D6902A880,Agenda
18,Alameda,2019-10-03,Historical Advisory Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=716369&GUID=36736A8B-9D98-4F9A-AE0B-E17939FBC6A6,Agenda
19,Alameda,2019-10-02,Civil Service Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=722856&GUID=CF93ADD1-734E-4875-9EF0-6AF5377EFC7A,Agenda
20,Alameda,2019-10-01,City Council,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=656293&GUID=EC23EDA5-A745-4B51-A565-2A25B7B25AFC,Agenda
21,Alameda,2019-09-26,Social Service Human Relations Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=721779&GUID=4857F605-7DCF-4D5C-BAC0-2530462AB4F6,Agenda
22,Alameda,2019-09-25,Transportation Commission,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=722002&GUID=8C7F9A79-0425-4317-B9B5-A2BC47FCB5A6,Agenda
23,Alameda,2019-09-25,Public Art Commission,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=721777&GUID=B6FF7D1F-A4CF-4269-9A89-ADEA11EA6747,Agenda
24,Alameda,2019-09-24,Alameda Unified School District Board of Education,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=681608&GUID=775BFE84-D46E-446F-8F44-F5F8313DA82E,Agenda
25,Alameda,2019-09-23,Planning Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=710128&GUID=C02326E1-2A41-4DFB-BF0F-4910207B61E6,Agenda
26,Alameda,2019-09-19,Special Event Recording,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=711618&GUID=93529999-E7FA-4BA2-BAFF-FFD09C637D43,Agenda
27,Alameda,2019-09-17,City Council,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=656292&GUID=EFE706B2-35F3-44AE-B88E-760DEAE5C265,Agenda
28,Alameda,2019-09-17,City Council,pdf,https://alameda.legistar.com/View.ashx?M=M&ID=656292&GUID=EFE706B2-35F3-44AE-B88E-760DEAE5C265,Minutes
29,Alameda,2019-09-17,Subcommittee of the City Council and School Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=716622&GUID=E887E58B-8E90-4A4F-8E93-F9C5BFC66EFE,Agenda
30,Alameda,2019-09-16,Public Utilities Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=653884&GUID=6EC79A88-C4F5-4FD4-8597-A410D3692901,Agenda
31,Alameda,2019-09-12,Recreation and Park Commission,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=714006&GUID=4FCB56A9-55E4-434E-8F92-B81DEFC03FDB,Agenda
32,Alameda,2019-09-12,Recreation and Park Commission,pdf,https://alameda.legistar.com/View.ashx?M=M&ID=714006&GUID=4FCB56A9-55E4-434E-8F92-B81DEFC03FDB,Minutes
33,Alameda,2019-09-11,Commission on Disability,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=677332&GUID=DDF62097-2F23-4E3A-A7FF-11DD9E8A8B0C,Agenda
34,Alameda,2019-09-11,Library Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=663045&GUID=D68B601A-E08B-4103-AC8A-C05A21A96A1B,Agenda
35,Alameda,2019-09-11,Subcommittee of the City Council and Alameda Health Care District Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=716621&GUID=326B9A9C-2ADD-4297-98EF-9D070E08386A,Agenda
36,Alameda,2019-09-10,Alameda Unified School District Board of Education,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=681607&GUID=9D4CAB42-62E7-4B37-A51D-6FCF6586AABE,Agenda
37,Alameda,2019-09-10,Golf Commission,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=714007&GUID=703F36C1-E465-4197-A1E0-5698E78DA208,Agenda
38,Alameda,2019-09-09,Planning Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=710127&GUID=8B67BC4E-B5F9-4089-9CAF-7F56DCA8971E,Agenda
39,Alameda,2019-09-09,Rent Review Advisory Committee,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=718080&GUID=5C02955B-6F6E-4C7B-8571-B9013F770F8A,Agenda
40,Alameda,2019-09-09,Rent Review Advisory Committee,pdf,https://alameda.legistar.com/View.ashx?M=M&ID=718080&GUID=5C02955B-6F6E-4C7B-8571-B9013F770F8A,Minutes
41,Alameda,2019-09-05,Historical Advisory Board,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=713478&GUID=162304F6-EE04-4906-B0D5-787EDC4B2D25,Agenda
42,Alameda,2019-09-03,City Council,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=713944&GUID=AE2A421C-2992-4F53-AD04-466FEFB500D3,Agenda
43,Alameda,2019-09-03,City Council,pdf,https://alameda.legistar.com/View.ashx?M=M&ID=713944&GUID=AE2A421C-2992-4F53-AD04-466FEFB500D3,Minutes
44,Alameda,2019-08-27,Alameda Unified School District Board of Education,pdf,https://alameda.legistar.com/View.ashx?M=A&ID=681606&GUID=00B353B1-3431-4276-9994-702E4F3F7283,Agenda
