,city,date,committee,doc_format,url,doc_type
0,Burlingame,2019-10-28,Planning Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=710843&GUID=7A25CA31-60EF-4F1D-AF0E-4193B1928787,Agenda
1,Burlingame,2019-10-22,City Council,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=732566&GUID=6DDE98A2-0720-498E-935E-2A88D9D8AE07,Agenda
2,Burlingame,2019-10-21,City Council,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=718243&GUID=642638DC-5B01-4220-B967-DB007C2B0AED,Agenda
3,Burlingame,2019-10-17,Parks & Recreation Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=726516&GUID=35A0E384-ED26-483F-8368-E9E47B184E02,Agenda
4,Burlingame,2019-10-15,Planning Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=710678&GUID=5E61BE45-5A4A-4F38-AAC1-072B7F07983E,Agenda
5,Burlingame,2019-10-15,Library Board of Trustees,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=726526&GUID=C6582B4B-53F7-48CF-84E7-35AE6D1C13A0,Agenda
6,Burlingame,2019-10-10,Traffic Safety and Parking Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=714179&GUID=3AB2EF56-16EB-40C8-BCF4-B31FE6E15F8E,Agenda
7,Burlingame,2019-10-07,City Council,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=718242&GUID=B4FE27A3-8240-4178-9B92-3B2A795D9486,Agenda
8,Burlingame,2019-10-03,Beautification Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=723222&GUID=4832078D-23A0-46E7-BAB7-3615E82B4FE3,Agenda
9,Burlingame,2019-09-23,Planning Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=710665&GUID=9AACB1E6-5C7E-4C45-A618-85F37A091198,Agenda
10,Burlingame,2019-09-19,Parks & Recreation Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=721034&GUID=BB02F387-A39C-45B5-8766-D7939E8FBB91,Agenda
11,Burlingame,2019-09-18,City Council,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=721261&GUID=92813C04-62DE-4FCF-B880-82E5CE29BEE2,Agenda
12,Burlingame,2019-09-17,Library Board of Trustees,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=721245&GUID=AB7876DE-6CBA-4921-B9A1-38E9D725F610,Agenda
13,Burlingame,2019-09-16,City Council,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=718241&GUID=1B22E66D-14AB-4EA1-9349-14980AC5F9FC,Agenda
14,Burlingame,2019-09-12,Traffic Safety and Parking Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=714178&GUID=FFD535B5-0354-4DC5-93A6-36CCB8693DE6,Agenda
15,Burlingame,2019-09-09,Planning Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=710661&GUID=5B30324D-0E85-4F03-89D3-7C02AFC84CC4,Agenda
16,Burlingame,2019-09-05,Beautification Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=708802&GUID=5A33F2D8-FEC7-42C6-AF80-1CE03E7153EE,Agenda
17,Burlingame,2019-09-03,City Council,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=716535&GUID=7DD6B36A-53AF-4278-BDAC-ED5B950516F9,Agenda
18,Burlingame,2019-08-26,Planning Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=710657&GUID=0580AEE2-7721-4D29-A4AE-D3AB9A3477C2,Agenda
19,Burlingame,2019-08-20,Library Board of Trustees,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=715987&GUID=8309B591-A8FF-4B18-A47A-6EBF5A2821EF,Agenda
20,Burlingame,2019-08-19,City Council,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=711724&GUID=7EABFD74-C9B2-4C0E-A735-8C47109EF168,Agenda
21,Burlingame,2019-08-15,Parks & Recreation Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=714488&GUID=BC8447BA-1D65-4DDF-AD02-056BCA06250B,Agenda
22,Burlingame,2019-08-12,Planning Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=710649&GUID=91DC84FD-6F5C-42C3-AC1B-8763FDF0D9E0,Agenda
23,Burlingame,2019-08-08,Traffic Safety and Parking Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=714177&GUID=C4411002-D4E5-4042-A8E4-C36B7FE6E51F,Agenda
24,Burlingame,2019-08-05,City Council,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=713886&GUID=59795C74-C5FE-4F16-924A-0F407C98809B,Agenda
25,Burlingame,2019-08-01,Beautification Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=708801&GUID=781E884F-A092-4D74-B434-451B595566A9,Agenda
26,Burlingame,2019-07-22,Planning Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=708924&GUID=ED5E59E3-C1E7-49DA-A8BD-B274FDC44E2B,Agenda
27,Burlingame,2019-07-18,Parks & Recreation Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=711226&GUID=48C1D35F-CE06-40C2-86A5-A23F29E1EC96,Agenda
28,Burlingame,2019-07-16,Library Board of Trustees,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=711392&GUID=D603CB6E-4E45-4A0A-B729-1CB6C210E610,Agenda
29,Burlingame,2019-07-15,City Council,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=711256&GUID=4016779A-39EF-4605-A632-A62868C276EE,Agenda
30,Burlingame,2019-07-11,Traffic Safety and Parking Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=688723&GUID=7332C7C0-59B0-491C-A040-7FCD89FBAA51,Agenda
31,Burlingame,2019-07-08,Planning Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=673578&GUID=E51A2C1B-900D-44C0-9792-9AEFCA8DB16B,Agenda
32,Burlingame,2019-07-04,Beautification Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=704843&GUID=AE8B0A3F-B7CA-4AEF-B644-360D55F305B9,Agenda
33,Burlingame,2019-07-01,City Council,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=686047&GUID=EC086C13-2910-43D2-AB6F-0A80EE18CF8C,Agenda
34,Burlingame,2019-06-24,Planning Commission,pdf,https://burlingameca.legistar.com/View.ashx?M=A&ID=673643&GUID=A497C43A-7B39-4C6C-B088-AF3F0B5B93AE,Agenda
