,city,date,committee,doc_format,url,doc_type
0,Cupertino,2019-10-29,Legislative Review Committee,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=726710&GUID=B3EC190B-64F6-4D8D-BA3A-4A341C680E8C,Agenda
1,Cupertino,2019-10-28,Planning Commission,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=726863&GUID=8E1CE6F7-3FCF-4699-B92A-14056FD3C57B,Agenda
2,Cupertino,2019-10-24,Administrative Hearing,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=656565&GUID=412BF94C-9724-434F-A0D7-5CA86648D020,Agenda
3,Cupertino,2019-10-24,Sustainability Commission,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=678561&GUID=0C91DB62-E0D4-40D1-A472-B65840285FF3,Agenda
4,Cupertino,2019-10-23,Teen Commission,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=732550&GUID=0AF9D2A2-E851-48B4-AD8E-D2B86B53AE92,Agenda
5,Cupertino,2019-10-22,Planning Commission,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=656672&GUID=03C364CD-03B0-467E-96B4-B5109AA70EE0,Agenda
6,Cupertino,2019-10-22,Audit Committee,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=675961&GUID=1A44D1FC-FA5C-43EB-97F7-2B4736C9C21F,Agenda
7,Cupertino,2019-10-17,Design Review Committee,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=656593&GUID=1C9973C8-FA93-4968-951B-B8EE3C27A4D0,Agenda
8,Cupertino,2019-10-17,Environmental Review Committee,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=656620&GUID=C605AD68-BF5C-494C-B593-ED28639BF78F,Agenda
9,Cupertino,2019-10-16,Bicycle Pedestrian Commission,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=726537&GUID=030E02AC-7DFD-466F-AB8A-7754E2D60408,Agenda
10,Cupertino,2019-10-16,Sustainability Commission,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=724125&GUID=768BDC83-CEE9-42FC-B143-D1CCEE7B2ADD,Agenda
11,Cupertino,2019-10-15,City Council,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=656103&GUID=A3A6EE7B-4C67-4738-BFE3-7D6832F3A432,Agenda
12,Cupertino,2019-10-11,Public Safety Commission,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=725299&GUID=9D0D7688-76E2-4C9D-B40B-4573EAE844D9,Agenda
13,Cupertino,2019-10-10,Public Safety Commission,pdf,https://cupertino.legistar.com/View.ashx?M=A&ID=687508&GUID=9D9FD9CA-1142-4243-9587-F21C74DD8CCB,Agenda
