,city,date,committee,doc_format,url,doc_type
0,Hayward,2019-10-30,Council Sustainability Committee,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=726180&GUID=F3534B0B-771F-49A8-877B-67A9320DB008,Agenda
1,Hayward,2019-10-29,City Council,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=732622&GUID=3BEBA25C-C154-4242-9E5A-D96F55FDAA12,Agenda
2,Hayward,2019-10-29,City Council,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=732957&GUID=ED4B4E81-1024-459A-A146-B0D351CBFD86,Agenda
3,Hayward,2019-10-24,Keep Hayward Clean and Green Task Force,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=652795&GUID=5AB0EFBA-9076-4A26-9983-C57C6A9450EA,Agenda
4,Hayward,2019-10-24,Planning Commission,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=716041&GUID=CAB7844A-4047-43EE-A651-A5EF88345E91,Agenda
5,Hayward,2019-10-23,Council Infrastructure Committee,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=722776&GUID=B312B229-DE1B-4EAF-A37A-6BABAE736A5B,Agenda
6,Hayward,2019-10-22,City Council,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=732551&GUID=E5C80BD7-B43B-416D-BBCB-5B0FE572639C,Agenda
7,Hayward,2019-10-22,Homelessness-Housing Task Force,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=723938&GUID=D10A57BF-852D-44BE-A6EA-D6525F126044,Agenda
8,Hayward,2019-10-21,Library Commission,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=713324&GUID=E16E8545-6767-4873-ADF3-53A261E4B40C,Agenda
9,Hayward,2019-10-21,Hayward Youth Commission,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=726990&GUID=FC0A65AF-F154-4BBE-8749-C79D6C56D1AF,Agenda
10,Hayward,2019-10-16,Community Services Commission,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=695119&GUID=4BF972A3-0E27-4492-9C10-53FC0C99F0E8,Agenda
11,Hayward,2019-10-15,City Council,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=721626&GUID=16AC4ECE-205A-4BB0-B24D-287E81120D97,Agenda
12,Hayward,2019-10-10,Planning Commission,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=716040&GUID=D3D78AC6-1C5F-43C3-AB83-AB3E096443BC,Agenda
13,Hayward,2019-10-10,Planning Commission,pdf,https://hayward.legistar.com/View.ashx?M=E3&ID=716040&GUID=D3D78AC6-1C5F-43C3-AB83-AB3E096443BC,Minutes
14,Hayward,2019-10-10,Hayward Local Agencies Committee,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=725382&GUID=F3C191D7-DE34-4953-BE22-7401C5E4E33A,Agenda
15,Hayward,2019-10-10,Hayward Area Shoreline Planning Agency,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=712411&GUID=F9AF65A4-36EE-4C0F-84F5-99BEF0DF2A3B,Agenda
16,Hayward,2019-10-07,Hayward Youth Commission,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=724214&GUID=E3BE101F-B0A4-4CE5-839F-516A3C52F790,Agenda
17,Hayward,2019-10-07,City Council,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=723878&GUID=63FC68FC-4836-4730-AC3C-E0B0F0A14506,Agenda
18,Hayward,2019-10-07,Council Economic Development Committee,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=719324&GUID=B89DD0EF-BAA9-4549-8B82-8CDE027FFC02,Agenda
19,Hayward,2019-10-02,Council Budget and Finance Committee,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=718564&GUID=70105EB1-182D-4AEB-861A-1D5AF4F83A2C,Agenda
20,Hayward,2019-10-01,City Council,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=722669&GUID=D2F61289-0489-4EA9-AE1C-32C5493287CF,Agenda
21,Hayward,2019-10-01,City Council,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=722671&GUID=216DA820-D0C2-4C0F-BAD1-225D305B14B3,Agenda
22,Hayward,2019-09-26,Planning Commission,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=712408&GUID=2DFFDEA5-FCAF-4976-9DF4-95575E7E9B0A,Agenda
23,Hayward,2019-09-24,City Council,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=716547&GUID=31F738BD-7448-4444-BB2C-4066876FEDE2,Agenda
24,Hayward,2019-09-24,City Council,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=721549&GUID=86BA4B22-0A39-4B95-9C6C-3C2D2A95B22C,Agenda
25,Hayward,2019-09-19,Keep Hayward Clean and Green Task Force,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=652794&GUID=F2345992-F20B-4DF1-B184-7D23C6B9D11D,Agenda
26,Hayward,2019-09-19,Council Airport Committee,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=716709&GUID=D4EF083D-9F09-49F8-BE92-46ACC5A77144,Agenda
27,Hayward,2019-09-18,Community Services Commission,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=695116&GUID=01AA4239-8282-4745-B217-0513DCA7220E,Agenda
28,Hayward,2019-09-17,City Council,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=720698&GUID=4D04B54E-8654-4142-AD3A-BE7AEDCBF11E,Agenda
29,Hayward,2019-09-17,Council Sustainability Committee,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=718642&GUID=E9B693C0-F070-4A0C-AA09-D959115F02F3,Agenda
30,Hayward,2019-09-16,Library Commission,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=713323&GUID=A61AAEDB-F485-4DDA-9F1D-ADA30DC81272,Agenda
31,Hayward,2019-09-16,Hayward Youth Commission,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=720066&GUID=679E91BD-0884-4B1F-9685-F63D207EAB17,Agenda
32,Hayward,2019-09-16,Council Infrastructure Committee,pdf,https://hayward.legistar.com/View.ashx?M=A&ID=714503&GUID=659C7407-9146-4997-B8F1-32EDA4ED2078,Agenda
