,city,date,committee,doc_format,url,doc_type
0,Hercules,2019-10-22,City Council,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=710618&GUID=8ADC373E-8990-4632-93A1-E49FA54F307C,Agenda
1,Hercules,2019-10-21,Planning Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=710626&GUID=0FF2C3C5-D563-45AB-A69C-9BAB29FE2176,Agenda
2,Hercules,2019-10-14,Community and Library Services Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=710625&GUID=664BEEC7-B9AF-4B23-9BBA-6BB210EBB774,Agenda
3,Hercules,2019-10-08,City Council,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=710624&GUID=DD2C8F99-4E17-4415-B7BB-A50EEFAB1059,Agenda
4,Hercules,2019-10-07,Planning Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=710623&GUID=7F52F2B5-2742-4FBD-8F03-A2BC34E5FD99,Agenda
5,Hercules,2019-09-24,City Council,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=710616&GUID=2787AE83-7BBF-4D24-8882-AB2BDE47AA0F,Agenda
6,Hercules,2019-09-18,Finance Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=710622&GUID=C4A981D5-363A-4C13-B4ED-A33A3B799BE7,Agenda
7,Hercules,2019-09-16,Planning Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=710621&GUID=7757D3E6-0629-4D1E-A62C-43D0856E6784,Agenda
8,Hercules,2019-09-10,City Council,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=710615&GUID=979DC26D-1E10-465B-ACEF-F04744BB1375,Agenda
9,Hercules,2019-09-10,City Council,pdf,https://hercules.legistar.com/View.ashx?M=M&ID=710615&GUID=979DC26D-1E10-465B-ACEF-F04744BB1375,Minutes
10,Hercules,2019-09-09,Community and Library Services Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=710619&GUID=8A2BEDB2-C5A4-4A70-B173-F77D296AECA5,Agenda
11,Hercules,2019-09-02,Planning Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=718066&GUID=43626A6D-941E-4592-8BE5-9B85D2559FE9,Agenda
12,Hercules,2019-08-27,City Council,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=715826&GUID=9DF8AA54-C5F0-4A4C-BD64-F165FD107B92,Agenda
13,Hercules,2019-08-19,Planning Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=705178&GUID=7A3C64E7-C4EB-48B3-BCF0-67863BC1F232,Agenda
14,Hercules,2019-08-13,City Council,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=705175&GUID=18964CEE-8693-4932-B531-2C1FBB9A508B,Agenda
15,Hercules,2019-08-12,Community and Library Services Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=705177&GUID=72A4EADB-C238-4B3A-B2C3-A698F1C0A963,Agenda
16,Hercules,2019-08-05,Planning Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=705176&GUID=8DEA1902-363D-4C5B-8160-9EF614D7BCE2,Agenda
17,Hercules,2019-07-23,City Council,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=711163&GUID=AE1ABCC0-AC8E-433B-8C69-E85FFA07E507,Agenda
18,Hercules,2019-07-23,City Council,pdf,https://hercules.legistar.com/View.ashx?M=M&ID=711163&GUID=AE1ABCC0-AC8E-433B-8C69-E85FFA07E507,Minutes
19,Hercules,2019-07-17,Finance Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=707685&GUID=8D428C94-2816-4C55-9A47-81C706E2B360,Agenda
20,Hercules,2019-07-15,Planning Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=695133&GUID=019C925E-7817-4D50-B999-CA49433C47F9,Agenda
21,Hercules,2019-07-09,City Council,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=695135&GUID=E1951A3F-41C8-479C-B5EA-95099C464A2D,Agenda
22,Hercules,2019-07-09,City Council,pdf,https://hercules.legistar.com/View.ashx?M=M&ID=695135&GUID=E1951A3F-41C8-479C-B5EA-95099C464A2D,Minutes
23,Hercules,2019-07-08,Community and Library Services Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=695134&GUID=EEF8BF48-D587-4BEB-A5C6-FB71105C0EB6,Agenda
24,Hercules,2019-07-01,Planning Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=695130&GUID=4EB4B93F-468F-4FC0-8FCB-1DFA64AAA07F,Agenda
25,Hercules,2019-06-25,City Council,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=695125&GUID=95477A90-F915-4CCD-BA8F-E79BE50A0AC1,Agenda
26,Hercules,2019-06-25,City Council,pdf,https://hercules.legistar.com/View.ashx?M=M&ID=695125&GUID=95477A90-F915-4CCD-BA8F-E79BE50A0AC1,Minutes
27,Hercules,2019-06-19,Finance Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=695129&GUID=10AB4D43-6D6A-4FF1-8787-B8B245FFD355,Agenda
28,Hercules,2019-06-17,Planning Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=695127&GUID=EAB15CD7-781D-44AE-A5FD-9EE2540418DA,Agenda
29,Hercules,2019-06-17,Finance Commission,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=695430&GUID=5FCDB25B-7B46-40A8-9B27-B2601E265A9F,Agenda
30,Hercules,2019-06-11,City Council,pdf,https://hercules.legistar.com/View.ashx?M=A&ID=695124&GUID=733152C4-57FF-4750-B71C-196937CA634C,Agenda
31,Hercules,2019-06-11,City Council,pdf,https://hercules.legistar.com/View.ashx?M=M&ID=695124&GUID=733152C4-57FF-4750-B71C-196937CA634C,Minutes
