,city,date,committee,doc_format,url,doc_type
0,Mtc,2019-10-30,ABAG POWER Board of Directors,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=718450&GUID=25975FEB-3660-48B0-B280-907DF54F299B,Agenda
1,Mtc,2019-10-25,Bay Area Partnership Board,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=724698&GUID=CFE64FCE-3CB9-4BF7-A07D-FCDA74BB57DF,Agenda
2,Mtc,2019-10-23,Metropolitan Transportation Commission,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=721912&GUID=60F1EAEB-BA8F-45C2-91D3-2CA7AA927208,Agenda
3,Mtc,2019-10-23,Bay Area Infrastructure Financing Authority,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=721911&GUID=99C29423-2916-49F8-B0E9-00FFA8EBDE3B,Agenda
4,Mtc,2019-10-23,Bay Area Toll Authority,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=721907&GUID=601DA512-1B14-4909-8B49-C04650282524,Agenda
5,Mtc,2019-10-23,MTC Audit Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=721913&GUID=8BF145B7-1AC4-4395-AFE1-CBC8012A000D,Agenda
6,Mtc,2019-10-18,ABAG Housing Methodology Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=723359&GUID=BF1CE0B8-1474-4A11-A912-F6B9C497384B,Agenda
7,Mtc,2019-10-11,Joint MTC Planning Committee with the ABAG Administrative Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=719101&GUID=9769C50B-0FD6-4022-87B9-53C40EF285CA,Agenda
8,Mtc,2019-10-11,ABAG Administrative Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=720132&GUID=AB567648-C8A8-40A4-8E8D-2D1D23AA8476,Agenda
9,Mtc,2019-10-11,Legislation Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=718702&GUID=5E843228-D475-48E8-97D8-C8BDD89C70A2,Agenda
10,Mtc,2019-10-11,Operations Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=718698&GUID=860BD2B2-0DBE-49CC-ADE6-AD5220453DE6,Agenda
11,Mtc,2019-10-11,Executive Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=722307&GUID=A16021AD-41AC-4535-91F0-C6CD64574CF0,Agenda
12,Mtc,2019-10-09,Policy Advisory Council,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=718690&GUID=A366DE64-C1B3-427A-9225-102A6437D8B8,Agenda
13,Mtc,2019-10-09,Policy Advisory Council Equity & Access Subcommittee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=722287&GUID=1ADEF385-3FA5-4280-930D-2DAB2C4A1F61,Agenda
14,Mtc,2019-10-09,Programming and Allocations Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=718013&GUID=39823E84-56BB-45B8-8F3D-F7659852E316,Agenda
15,Mtc,2019-10-09,Administration Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=718012&GUID=33E977F1-D899-495E-B8B5-E0BF1AACE945,Agenda
16,Mtc,2019-10-09,Bay Area Toll Authority Oversight Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=718011&GUID=2C513DC0-B593-465D-9CFA-B144DBD9BB05,Agenda
17,Mtc,2019-10-08,Regional Advisory Working Group,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=716647&GUID=283C93B4-9128-415A-A33E-DEB3875B700F,Agenda
18,Mtc,2019-10-08,Regional Advisory Working Group,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=716647&GUID=283C93B4-9128-415A-A33E-DEB3875B700F,Minutes
19,Mtc,2019-10-02,ABAG Regional Planning Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=714482&GUID=6D170471-8E1C-4214-8924-B1158283A8DB,Agenda
20,Mtc,2019-10-02,ABAG RPC Housing Subcommittee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=723246&GUID=AB8F5750-AC72-467D-A7B4-1C2633CFEFFA,Agenda
21,Mtc,2019-09-25,Joint ABAG MTC Governance Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=715509&GUID=5B7F100B-7078-47F5-BAFB-0EE174A80C10,Agenda
22,Mtc,2019-09-25,Metropolitan Transportation Commission,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=716030&GUID=CA47EB1F-D13F-4EEA-BF0C-FA2C837EBD78,Agenda
23,Mtc,2019-09-25,Metropolitan Transportation Commission,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=716030&GUID=CA47EB1F-D13F-4EEA-BF0C-FA2C837EBD78,Minutes
24,Mtc,2019-09-25,Bay Area Toll Authority,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=716027&GUID=7B137337-2A46-4A04-927E-419BD49F20AA,Agenda
25,Mtc,2019-09-25,Bay Area Toll Authority,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=716027&GUID=7B137337-2A46-4A04-927E-419BD49F20AA,Minutes
26,Mtc,2019-09-20,Bay Area Regional Collaborative,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=712416&GUID=42FC1E6A-A757-4428-9F66-F00EC4F7A3CE,Agenda
27,Mtc,2019-09-19,ABAG Executive Board,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=712413&GUID=C944EE8B-6FEB-4E16-9E24-B37DB2999AEB,Agenda
28,Mtc,2019-09-19,ABAG Finance Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=712434&GUID=89FE0959-3F88-4E0E-AA84-1505E4B47226,Agenda
29,Mtc,2019-09-18,Regional Equity Working Group,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=720184&GUID=802B52C0-E056-45C1-89AD-F87B05568804,Agenda
30,Mtc,2019-09-18,Regional Equity Working Group,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=720184&GUID=802B52C0-E056-45C1-89AD-F87B05568804,Minutes
31,Mtc,2019-09-16,Clipper Executive Board,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=715505&GUID=818C2616-AE87-4D8A-ABF9-E28354818CB7,Agenda
32,Mtc,2019-09-13,ABAG Legislation Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=712414&GUID=5DCA0839-5686-412A-B37F-DCD225D0D569,Agenda
33,Mtc,2019-09-13,Joint MTC Legislation Committee and ABAG Legislation Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=713792&GUID=6D47B440-17E5-44BF-81EF-B48F96CB85A8,Agenda
34,Mtc,2019-09-13,Joint MTC Legislation Committee and ABAG Legislation Committee,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=713792&GUID=6D47B440-17E5-44BF-81EF-B48F96CB85A8,Minutes
35,Mtc,2019-09-13,ABAG Administrative Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=713596&GUID=663920EC-69E6-4847-85DB-B8FAB49C820E,Agenda
36,Mtc,2019-09-13,ABAG Administrative Committee,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=713596&GUID=663920EC-69E6-4847-85DB-B8FAB49C820E,Minutes
37,Mtc,2019-09-13,Joint MTC Planning Committee with the ABAG Administrative Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=713764&GUID=52742BD2-144B-46B8-BC6E-96C5EF2CBF52,Agenda
38,Mtc,2019-09-13,Joint MTC Planning Committee with the ABAG Administrative Committee,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=713764&GUID=52742BD2-144B-46B8-BC6E-96C5EF2CBF52,Minutes
39,Mtc,2019-09-13,Operations Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=713785&GUID=A3C75703-881B-4287-AD05-1FB9E5449B43,Agenda
40,Mtc,2019-09-13,Operations Committee,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=713785&GUID=A3C75703-881B-4287-AD05-1FB9E5449B43,Minutes
41,Mtc,2019-09-12,ABAG San Francisco Bay Trail Steering Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=718495&GUID=5C64BFAC-12EF-4F9D-8CF7-39B0C5F4730D,Agenda
42,Mtc,2019-09-11,Policy Advisory Council,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=713706&GUID=CCE3162E-BE56-465D-897C-3BB64AAE81C1,Agenda
43,Mtc,2019-09-11,Policy Advisory Council,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=713706&GUID=CCE3162E-BE56-465D-897C-3BB64AAE81C1,Minutes
44,Mtc,2019-09-11,Policy Advisory Council Equity & Access Subcommittee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=713789&GUID=543C89DF-0184-4F54-BFA7-5482531E7A32,Agenda
45,Mtc,2019-09-11,Policy Advisory Council Equity & Access Subcommittee,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=713789&GUID=543C89DF-0184-4F54-BFA7-5482531E7A32,Minutes
46,Mtc,2019-09-10,Regional Advisory Working Group,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=713680&GUID=F06E3891-C0DB-4A50-B8C8-7BAD0CAEC7B7,Agenda
47,Mtc,2019-09-10,Regional Advisory Working Group,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=713680&GUID=F06E3891-C0DB-4A50-B8C8-7BAD0CAEC7B7,Minutes
48,Mtc,2019-09-05,ABAG FAN Executive Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=712417&GUID=25B3EA5E-B460-4E77-8196-8A5EF1C28997,Agenda
49,Mtc,2019-09-04,ABAG RPC Housing Subcommittee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=718479&GUID=BA5DD1F6-7642-4B9B-ACD1-5B196EDB32D1,Agenda
50,Mtc,2019-09-04,Programming and Allocations Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=712020&GUID=BAEB9E61-CD65-4344-80CB-93BBC261B01C,Agenda
51,Mtc,2019-09-04,Programming and Allocations Committee,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=712020&GUID=BAEB9E61-CD65-4344-80CB-93BBC261B01C,Minutes
52,Mtc,2019-09-04,Administration Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=712019&GUID=9A5589FB-7C8C-4AA0-95C3-19D8951BE1F6,Agenda
53,Mtc,2019-09-04,Administration Committee,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=712019&GUID=9A5589FB-7C8C-4AA0-95C3-19D8951BE1F6,Minutes
54,Mtc,2019-09-04,Bay Area Toll Authority Oversight Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=712015&GUID=17BBD64C-59EB-4B9F-9246-B28722B43F01,Agenda
55,Mtc,2019-09-04,Bay Area Toll Authority Oversight Committee,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=712015&GUID=17BBD64C-59EB-4B9F-9246-B28722B43F01,Minutes
56,Mtc,2019-08-21,ABAG POWER Executive Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=713192&GUID=F2CD804C-DA44-4E2F-B701-3800AE774C61,Agenda
57,Mtc,2019-08-19,Clipper Executive Board,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=712380&GUID=C86117CC-0E16-42B0-901F-44F9721AF452,Agenda
58,Mtc,2019-08-19,Clipper Executive Board,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=712380&GUID=C86117CC-0E16-42B0-901F-44F9721AF452,Minutes
59,Mtc,2019-07-24,Joint ABAG MTC Governance Committee,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=711172&GUID=64D617D4-AC76-4FAB-A0C5-5F62B77B25EB,Agenda
60,Mtc,2019-07-24,Joint ABAG MTC Governance Committee,pdf,https://mtc.legistar.com/View.ashx?M=M&ID=711172&GUID=64D617D4-AC76-4FAB-A0C5-5F62B77B25EB,Minutes
61,Mtc,2019-07-24,Metropolitan Transportation Commission,pdf,https://mtc.legistar.com/View.ashx?M=A&ID=708602&GUID=C6D94168-75AF-431E-9353-70D1F4B2FC26,Agenda
