,city,date,committee,doc_format,url,doc_type
0,Oakland,2019-11-07,*Rules & Legislation Committee,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=732693&GUID=A2034C72-1E24-412D-9BAC-8E18C8E43467,Agenda
1,Oakland,2019-11-05,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=726618&GUID=56726369-3125-401E-9994-FB531D748ABD,Agenda
2,Oakland,2019-10-31,*Special Rules and Legislation Committee,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=726611&GUID=A7E5ACDF-285F-4E4D-9667-CD59A5BBD0CC,Agenda
3,Oakland,2019-10-29,* Special Meeting of the Oakland City Council - CANCELLED,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=726612&GUID=B2A6B84A-5D8C-42ED-9BDE-A0A997F74427,Agenda
4,Oakland,2019-10-24,*Rules & Legislation Committee,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=724840&GUID=9A813140-27F6-4868-9F86-C79AA508CF2D,Agenda
5,Oakland,2019-10-22,*Public Safety Committee,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=725242&GUID=7E77721A-63F9-4359-837B-92BDF38931DC,Agenda
6,Oakland,2019-10-22,*Life Enrichment Committee,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=724839&GUID=C9C175CF-0E8B-400A-9DA8-6F7E205D5544,Agenda
7,Oakland,2019-10-22,*Community & Economic Development Committee,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=725241&GUID=81846683-2E6D-4C6C-84D5-45BC05C3210F,Agenda
8,Oakland,2019-10-22,*Special Public Works Committee,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=724838&GUID=889CC758-6AEC-4881-A465-B7BB3D39AF7C,Agenda
9,Oakland,2019-10-22,*Finance & Management Committee,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=725240&GUID=46FB5846-E99B-4216-8448-66496691D9D1,Agenda
10,Oakland,2019-10-21,Special Concurrent Meeting of the Education Partnership Committee and the Oakland Unified School District Board of Education,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=712226&GUID=859A2D2B-9B56-429E-A800-5DFBD2E6D762,Agenda
11,Oakland,2019-10-17,*Rules and Legislation Committee - CANCELLED,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=723696&GUID=705C01DE-10BC-41A3-AC8D-D6853DC8FCAB,Agenda
12,Oakland,2019-10-15,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=723695&GUID=DB888918-354E-41F2-B60B-D5E525B69EBA,Agenda
13,Oakland,2019-10-10,*Rules and Legislation Committee - CANCELLED,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=722562&GUID=626298CC-475E-4EF5-9B94-223C51827211,Agenda
14,Oakland,2019-10-08,*Public Safety Committee,pdf,https://oakland.legistar.com/View.ashx?M=A&ID=722158&GUID=A546392E-2689-47BD-A53A-0EF3FC597975,Agenda
