,city,date,committee,doc_format,url,doc_type
0,Stockton,2019-10-29,City Council Special,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=723309&GUID=5A767531-53DE-43B1-A2F1-6C4358282B32,Agenda
1,Stockton,2019-10-28,Council Audit Committee,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=721146&GUID=9FFDEDD1-BFB6-42BD-983B-63D4152E8F7A,Agenda
2,Stockton,2019-10-24,Planning Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=653535&GUID=A331F98D-009E-495F-ACA5-1022F6C39F05,Agenda
3,Stockton,2019-10-24,Community Development Committee,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=732573&GUID=1B77DE6D-C57D-4BFA-8583-3DB752CD46C6,Agenda
4,Stockton,2019-10-22,City Council/Successor Agency to the Redevelopment Agency/Public Financing Authority/Parking Authority Concurrent,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=659158&GUID=D987E1D5-EDE5-4E8C-BCAF-F7A3D0974A3E,Agenda
5,Stockton,2019-10-17,Civil Service/Equal Employment Commission Concurrent,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=692840&GUID=C3FC3A0F-5256-4271-9BB0-1D5407468B71,Agenda
6,Stockton,2019-10-16,Mayor's Task Force For Persons With Disabilities,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=644321&GUID=3C96BB74-26D8-48BA-9112-D1FB5D57E869,Agenda
7,Stockton,2019-10-16,Measure A Citizens' Advisory Committee,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=725558&GUID=D5DA843E-ED00-4282-A100-0DE69D621F38,Agenda
8,Stockton,2019-10-15,Mayor's Task Force on Affordable and Workforce Housing,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=725936&GUID=05ED372F-0E73-4233-B168-FB8A52B2B178,Agenda
9,Stockton,2019-10-10,Planning Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=653534&GUID=46075E68-059A-4A9D-AA27-48DC2D725708,Agenda
10,Stockton,2019-10-10,Council Water Committee,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=723137&GUID=824470CE-FE43-44C5-8B49-1AFA3E793D4A,Agenda
11,Stockton,2019-10-09,Measure W Oversight Committee,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=711006&GUID=C5CEECB3-886A-4B75-9DF8-EB8F740D8E0E,Agenda
12,Stockton,2019-10-08,City Council/Successor Agency to the Redevelopment Agency/Public Financing Authority/Parking Authority Concurrent,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=649169&GUID=B8D32259-A8B0-479C-A74B-B348CAA8904A,Agenda
13,Stockton,2019-10-07,Stockton Arts Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=724568&GUID=1785C0C9-787F-4CCB-893B-3DF0593A38A7,Agenda
14,Stockton,2019-10-03,Community Development Committee,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=723724&GUID=744C121C-E64E-4BCB-AE57-C8D04C21F260,Agenda
15,Stockton,2019-10-03,Development Oversight Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=710684&GUID=85BE769E-1487-4CEC-BDFA-3E75436817FD,Agenda
16,Stockton,2019-10-02,Cultural Heritage Board,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=723125&GUID=3CE3CDFD-9CD4-4525-941C-25F170469EAE,Agenda
17,Stockton,2019-10-02,Water Advisory Group,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=722673&GUID=6C9FF0BF-8F8A-4374-90B9-675C24D46F75,Agenda
18,Stockton,2019-09-30,Council Legislation/Environmental Committee,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=720536&GUID=E1489A3A-219D-4020-9A3F-CE4FC9F9778E,Agenda
19,Stockton,2019-09-26,Planning Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=653533&GUID=18DFD086-9329-4390-A8CC-D39265B77E96,Agenda
20,Stockton,2019-09-26,Strong Communities Advisory Committee,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=706254&GUID=A2468A04-30A2-4004-9A7A-B76D787356DC,Agenda
21,Stockton,2019-09-25,Measure A Citizens' Advisory Committee,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=705728&GUID=94EE9823-A27E-4FEA-B968-5BDFEDA33750,Agenda
22,Stockton,2019-09-24,City Council/Successor Agency to the Redevelopment Agency/Public Financing Authority/Parking Authority Concurrent,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=659157&GUID=00396743-8398-4D68-8F8A-AA26C887D198,Agenda
23,Stockton,2019-09-23,Parks and Recreation Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=713208&GUID=988D4AE1-6081-4D74-B189-4004681F2AC1,Agenda
24,Stockton,2019-09-19,Civil Service/Equal Employment Commission Concurrent,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=692839&GUID=FFFEDDF1-AC1A-4908-AD8B-59C0A705A3B2,Agenda
25,Stockton,2019-09-18,Mayor's Task Force For Persons With Disabilities,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=644320&GUID=E347A872-A85E-46AD-9C5F-126D9F0915BB,Agenda
26,Stockton,2019-09-17,City Council/Successor Agency to the Redevelopment Agency/Public Financing Authority/Parking Authority Concurrent,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=649168&GUID=F6960F5F-C59B-42CF-A5E6-AAF77E136DBC,Agenda
27,Stockton,2019-09-12,Planning Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=653532&GUID=B68F352F-0451-477D-8A8E-59F04DAA1E1D,Agenda
28,Stockton,2019-09-12,Council Water Committee,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=713207&GUID=466AB253-5C2D-4F62-9C87-3816B4B1B189,Agenda
29,Stockton,2019-09-09,Stockton Arts Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=718251&GUID=21B515B9-4A30-4E27-B527-31E49AA89120,Agenda
30,Stockton,2019-09-05,Water Advisory Group,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=718177&GUID=88AF5CF0-2BC6-4177-A560-D4748F623413,Agenda
31,Stockton,2019-09-04,Cultural Heritage Board,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=651682&GUID=99780DA5-E1F9-44BF-9DA2-CE3CD86F2701,Agenda
32,Stockton,2019-08-28,Mayor's Task Force on Affordable and Workforce Housing,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=713782&GUID=250895F3-2733-44E4-9A7D-AAF345891C7E,Agenda
33,Stockton,2019-08-27,City Council/Successor Agency to the Redevelopment Agency/Public Financing Authority/Parking Authority Concurrent,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=659156&GUID=071B56C6-D12B-41E7-9EC5-6BE430A61256,Agenda
34,Stockton,2019-08-26,Parks and Recreation Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=706656&GUID=FFE8DA38-B8CE-4378-A090-C74FB951732F,Agenda
35,Stockton,2019-08-23,Civil Service Commission Special,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=716605&GUID=031A63C8-8BC8-4DC1-9690-8005EF9EB4C0,Agenda
36,Stockton,2019-08-22,Planning Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=653531&GUID=4DBD4E3F-F07C-4D53-8BB3-35086A673A2B,Agenda
37,Stockton,2019-08-21,Mayor's Task Force For Persons With Disabilities,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=644319&GUID=C7A1BA95-F11E-4C8E-8F43-4AAD3B9E427F,Agenda
38,Stockton,2019-08-21,Civil Service Commission Special,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=715363&GUID=27148E65-2CA5-4B55-85A0-DC71DDA6575E,Agenda
39,Stockton,2019-08-20,City Council/Successor Agency to the Redevelopment Agency/Public Financing Authority/Parking Authority Concurrent,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=649167&GUID=34ADB30C-015D-4FBB-840B-95E13FCDCD80,Agenda
40,Stockton,2019-08-15,Civil Service/Equal Employment Commission Concurrent,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=692838&GUID=367B587F-CA42-4DD3-9BAA-73EEC4B8979F,Agenda
41,Stockton,2019-08-08,Planning Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=653530&GUID=FDABBA6C-730F-42F2-8FB1-DBD78A8220FB,Agenda
42,Stockton,2019-08-08,Council Water Committee,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=713125&GUID=348EBDF5-92B7-4E0C-853F-512A153E188C,Agenda
43,Stockton,2019-08-07,Cultural Heritage Board,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=651681&GUID=E4166ED1-4658-429E-8A8D-F9A92A27B39B,Agenda
44,Stockton,2019-08-07,Water Advisory Group,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=713735&GUID=9F43EB6B-BFCA-4CAD-85B2-7895149BCACF,Agenda
45,Stockton,2019-08-05,Stockton Arts Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=706655&GUID=6F7C8E1D-968C-4E6F-84C7-229A3446C83A,Agenda
46,Stockton,2019-07-31,Development Oversight Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=713112&GUID=E1D54037-5979-4F62-9EF7-EDE3587D0057,Agenda
47,Stockton,2019-07-30,City Council/Successor Agency to the Redevelopment Agency/Public Financing Authority/Parking Authority Concurrent,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=659155&GUID=C3B7C741-D9E3-421B-8B7A-6C24CDFF2861,Agenda
48,Stockton,2019-07-24,Mayor's Task Force on Affordable and Workforce Housing,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=712031&GUID=73344BA5-5FD5-42EA-A244-11DF80266C90,Agenda
49,Stockton,2019-07-22,Parks and Recreation Commission,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=706649&GUID=FED7B378-8945-48E5-9941-20622E50683C,Agenda
50,Stockton,2019-07-18,Civil Service/Equal Employment Commission Concurrent,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=692837&GUID=E1A9F4A4-9F7C-4758-9191-FC4A37975ACA,Agenda
51,Stockton,2019-07-17,Mayor's Task Force For Persons With Disabilities,pdf,https://stockton.legistar.com/View.ashx?M=A&ID=707691&GUID=C393CC11-89F1-4512-87F1-5F23F884A020,Agenda
