,city,date,committee,doc_format,url,doc_type
0,Sunnyvale,2019-11-21,City Council: Community Meeting Notice,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=725570&GUID=E28EC9A5-2DA8-4CAA-B2D0-C9653B74DF7D,Agenda
1,Sunnyvale,2019-11-06,City Council: Community Meeting Notice,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=734509&GUID=229FA188-BD70-42EF-9A82-CC12C24FB5C4,Agenda
2,Sunnyvale,2019-10-30,Zoning Administrator Hearing,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=661690&GUID=41B854A0-77A7-4480-9183-89EABAA676BD,Agenda
3,Sunnyvale,2019-10-29,City Council,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=672132&GUID=F9675451-1131-4B4B-98B1-1DD8463DD8CE,Agenda
4,Sunnyvale,2019-10-28,Planning Commission,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=661672&GUID=3F67B640-1BBE-4E0D-9A2F-70A1612BBB41,Agenda
5,Sunnyvale,2019-10-24,City Council: Community Meeting Notice,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=725566&GUID=AA23B37D-68E6-4FC8-ADEE-CDD30B6C2FCA,Agenda
6,Sunnyvale,2019-10-23,Housing and Human Services Commission,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=652386&GUID=795BA787-A20E-4A34-8E5F-3DA7801D0317,Agenda
7,Sunnyvale,2019-10-21,Sustainability Commission,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=673466&GUID=B7DEB542-671E-44EC-824D-A7E4FCDFB290,Agenda
8,Sunnyvale,2019-10-17,Bicycle and Pedestrian Advisory Commission,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=672099&GUID=0C4B033F-6B61-4D86-812A-CFF5254EC017,Agenda
9,Sunnyvale,2019-10-16,Arts Commission,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=670214&GUID=BC7641BC-4959-4728-A584-8308F0BE5489,Agenda
10,Sunnyvale,2019-10-16,Zoning Administrator Hearing,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=661689&GUID=8F1F81D1-B9B6-48FA-B3BE-5489AF39EC7B,Agenda
11,Sunnyvale,2019-10-16,Zoning Administrator Hearing,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=M&ID=661689&GUID=8F1F81D1-B9B6-48FA-B3BE-5489AF39EC7B,Minutes
12,Sunnyvale,2019-10-14,Planning Commission,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=661671&GUID=24FDA26B-B3BC-4AB9-BE69-FC4A4083D9B9,Agenda
13,Sunnyvale,2019-10-09,Parks and Recreation Commission,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=651887&GUID=944BE7E5-CC1D-4534-B833-BB2401B9A99F,Agenda
14,Sunnyvale,2019-10-09,Heritage Preservation Commission,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=661710&GUID=602A22B1-628A-421C-8D76-CFD951F83807,Agenda
15,Sunnyvale,2019-10-08,City Council,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=725731&GUID=068B585E-7DDF-465F-A35D-F5793C23FE16,Agenda
16,Sunnyvale,2019-10-08,City Council,pdf,https://sunnyvaleca.legistar.com/View.ashx?M=A&ID=672131&GUID=61E92095-3E44-4BD6-A9BC-544F021B0DF7,Agenda
