,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Audio Text,Transcript Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL,Audio URL,Transcript URL
0,Rules Committee,10/30/2019,,1:00 PM,"City Hall, Legislative ChamberSpecial Meeting",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=733699&GUID=568AC685-0C1C-45C7-BD31-23BA415FF8A1,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=733699&GUID=568AC685-0C1C-45C7-BD31-23BA415FF8A1&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=733699&GUID=568AC685-0C1C-45C7-BD31-23BA415FF8A1,,,,
1,Budget and Finance Committee,10/30/2019,,10:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=732880&GUID=75782643-E5D7-41C5-B3F9-0A238BBA73E0,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=732880&GUID=75782643-E5D7-41C5-B3F9-0A238BBA73E0&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=732880&GUID=75782643-E5D7-41C5-B3F9-0A238BBA73E0,,,,
2,Board of Supervisors,10/29/2019,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=734413&GUID=6E79529B-2953-4CEA-9027-0808DA7B54E3,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=734413&GUID=6E79529B-2953-4CEA-9027-0808DA7B54E3&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=734413&GUID=6E79529B-2953-4CEA-9027-0808DA7B54E3,,,,
3,Land Use and Transportation Committee,10/28/2019,,1:30 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=732723&GUID=2CA863BF-E222-44FD-AAB8-24BDDA62330D,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=732723&GUID=2CA863BF-E222-44FD-AAB8-24BDDA62330D&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=732723&GUID=2CA863BF-E222-44FD-AAB8-24BDDA62330D,,,,
4,Rules Committee,10/28/2019,,10:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=732865&GUID=68C8EA5B-37C5-4D51-8C5D-5FD0E01DD818,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=732865&GUID=68C8EA5B-37C5-4D51-8C5D-5FD0E01DD818&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=732865&GUID=68C8EA5B-37C5-4D51-8C5D-5FD0E01DD818,,,,
5,Public Safety and Neighborhood Services Committee,10/24/2019,,10:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Not available,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=726819&GUID=ADD5DCD4-E2B0-4CED-A3B9-6FB131064790,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=726819&GUID=ADD5DCD4-E2B0-4CED-A3B9-6FB131064790&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=726819&GUID=ADD5DCD4-E2B0-4CED-A3B9-6FB131064790,,,,
6,Government Audit and Oversight Committee,10/23/2019,,10:00 AM,"City Hall, Committee Room 263Special Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=726818&GUID=6424850A-84E1-4410-AC34-E6A56B390A31,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=726818&GUID=6424850A-84E1-4410-AC34-E6A56B390A31&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=726818&GUID=6424850A-84E1-4410-AC34-E6A56B390A31,https://sfgov.legistar.com/View.ashx?M=M&ID=726818&GUID=6424850A-84E1-4410-AC34-E6A56B390A31,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
7,Budget and Finance Committee,10/23/2019,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=727111&GUID=826292D2-42D0-4768-A1B1-F4CBE887BDAA,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=727111&GUID=826292D2-42D0-4768-A1B1-F4CBE887BDAA&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=727111&GUID=826292D2-42D0-4768-A1B1-F4CBE887BDAA,https://sfgov.legistar.com/View.ashx?M=M&ID=727111&GUID=826292D2-42D0-4768-A1B1-F4CBE887BDAA,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
8,Board of Supervisors,10/22/2019,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=727126&GUID=ED4A9262-2004-421E-AB5C-AEC9FEA3B882,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=727126&GUID=ED4A9262-2004-421E-AB5C-AEC9FEA3B882&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=727126&GUID=ED4A9262-2004-421E-AB5C-AEC9FEA3B882,https://sfgov.legistar.com/View.ashx?M=M&ID=727126&GUID=ED4A9262-2004-421E-AB5C-AEC9FEA3B882,,,
9,Land Use and Transportation Committee,10/21/2019,,1:30 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=726809&GUID=DEEE93B7-7CA0-488C-A861-06FBBB7FFC3B,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=726809&GUID=DEEE93B7-7CA0-488C-A861-06FBBB7FFC3B&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=726809&GUID=DEEE93B7-7CA0-488C-A861-06FBBB7FFC3B,https://sfgov.legistar.com/View.ashx?M=M&ID=726809&GUID=DEEE93B7-7CA0-488C-A861-06FBBB7FFC3B,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
