,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Addendum Text,Agenda Text,Minutes Text,Video Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Addendum URL,Agenda URL,Minutes URL,Video URL,eComment URL
0,BOARD OF SUPERVISORS,12/8/2020,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=734669&GUID=85DB8F1B-0372-436A-B47A-A49A39077B1C,,,,,,,,
1,BOARD OF SUPERVISORS,11/17/2020,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=734668&GUID=ED4FD3A0-B2AB-446C-9FEC-22A67A823F9E,,,,,,,,
2,BOARD OF SUPERVISORS,11/10/2020,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=734667&GUID=7B4E362C-D58A-4C90-88A1-8080116BC2D4,,,,,,,,
3,BOARD OF SUPERVISORS,10/20/2020,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=734666&GUID=C30F839C-77BC-40F8-9A8B-2D9966DE4405,,,,,,,,
4,BOARD OF SUPERVISORS,10/6/2020,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=734665&GUID=AAFC4FC8-D593-4BBD-BFA2-C3177FCEA5BD,,,,,,,,
5,BOARD OF SUPERVISORS,9/29/2020,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=734664&GUID=373114DA-4097-4A14-AC4B-4DB6AD2ED2D3,,,,,,,,
6,BOARD OF SUPERVISORS,9/15/2020,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=734663&GUID=03C49714-2C95-45FA-B2F5-41BBB3CC29F6,,,,,,,,
7,BOARD OF SUPERVISORS,8/4/2020,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=734662&GUID=B003B057-D77E-459E-B545-AE0E7409CE2D,,,,,,,,
8,BOARD OF SUPERVISORS,7/21/2020,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=734661&GUID=5E11316C-6D95-41E1-8F5A-172A214D4052,,,,,,,,
9,BOARD OF SUPERVISORS,7/7/2020,,9:00 AM,Hall of Justice,Meeting details,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,https://sanmateocounty.legistar.com/View.ashx?M=IC&ID=734660&GUID=EA32B2C2-A0CF-4982-B7F4-87A3179C791A,,,,,,,,
