,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL
0,Golf Commission,1/14/2020,,6:30 PM,"City Hall, 2263 Santa Clara Avenue, Conference Room 360, 3rd Floor, Alameda, CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22827&GUID=63E9AE30-DBD1-4E78-93C5-CF3EF3E15E19,,https://alameda.legistar.com/View.ashx?M=IC&ID=654010&GUID=6B982604-744E-4C4D-BD47-D82E7E16BE12,,,,,,
1,Recreation and Park Commission,1/9/2020,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22849&GUID=5395AB50-90DB-45EF-9F22-E95F52CFE78F,,https://alameda.legistar.com/View.ashx?M=IC&ID=653998&GUID=DC8F71CC-A8AD-4D39-B08E-E552E8BD5BEE,,,,,,
2,Open Government Commission,12/18/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22824&GUID=7D0FF088-F015-4D9D-A3F8-3F50F43889B4,,https://alameda.legistar.com/View.ashx?M=IC&ID=732464&GUID=675EEFAC-EF49-4AFF-9334-0E830CE98101,,,,,,
3,City Council,12/17/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22804&GUID=974B02E1-2DF3-4F71-9ECB-C1C9758FB8C7,,https://alameda.legistar.com/View.ashx?M=IC&ID=656298&GUID=E77F88D1-5924-443B-9FB7-CF2ED8BC41CF,,,,,,
4,Recreation and Park Commission,12/12/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22849&GUID=5395AB50-90DB-45EF-9F22-E95F52CFE78F,,https://alameda.legistar.com/View.ashx?M=IC&ID=653997&GUID=A0222E5A-6DED-4D87-A22F-3A6D22B112F0,,,,,,
5,Planning Board,12/9/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22847&GUID=1AF6CEB9-C0B5-4F2F-A8CE-CA6644185A52,,https://alameda.legistar.com/View.ashx?M=IC&ID=724384&GUID=494A7CD2-3CD6-4F0D-B8BB-6B09F63BA1F4,,,,,,
6,Planning Board,11/25/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22847&GUID=1AF6CEB9-C0B5-4F2F-A8CE-CA6644185A52,,https://alameda.legistar.com/View.ashx?M=IC&ID=720697&GUID=0F757111-148E-4235-B732-9A13EDE1AF3C,,,,,,
7,Commission on Disability,11/20/2019,,6:30 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, Alameda, CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22826&GUID=5CF2D01F-6107-4711-BBA0-0F649ABFCFA2,,https://alameda.legistar.com/View.ashx?M=IC&ID=677333&GUID=EF9F5CA4-4FC9-4AE1-B7BB-8650AB03817A,,,,,,
8,City Council,11/19/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22804&GUID=974B02E1-2DF3-4F71-9ECB-C1C9758FB8C7,,https://alameda.legistar.com/View.ashx?M=IC&ID=656296&GUID=97B0633D-0B95-45C2-836A-2CE25E7053BB,,,,,,
9,Recreation and Park Commission,11/14/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22849&GUID=5395AB50-90DB-45EF-9F22-E95F52CFE78F,,https://alameda.legistar.com/View.ashx?M=IC&ID=653996&GUID=DE9E6D4F-6AA4-4D99-BB17-DE4D9BA29B6E,,,,,,
