,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL
0,Planning Commission,1/13/2020,,7:00 PM,Council Chambers,Meeting details,Not available,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25809&GUID=061CE0CE-879F-4903-87D4-FBB8821B1251,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=711121&GUID=5AE3C82E-F6FD-40C1-93D2-5500728605EC,,,,,,
1,Traffic Safety and Parking Commission,12/12/2019,,7:00 PM,Council Chambers,Meeting details,Not available,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25801&GUID=FAA85BB1-EA00-470F-A86F-B0647CF14D7E,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=720559&GUID=B7F84CEF-195D-4061-9C58-3CCC83EEF438,,,,,,
2,Planning Commission,12/9/2019,,7:00 PM,Council Chambers,Meeting details,Not available,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25809&GUID=061CE0CE-879F-4903-87D4-FBB8821B1251,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=711113&GUID=643E52F6-2113-454E-A5C7-32E4F5CB049D,,,,,,
3,Planning Commission,11/25/2019,,7:00 PM,Council Chambers,Meeting details,Not available,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25809&GUID=061CE0CE-879F-4903-87D4-FBB8821B1251,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=711112&GUID=5B4CCD23-3E74-4FFC-956D-09EDDD1F32DF,,,,,,
4,Parks & Recreation Commission,11/21/2019,,7:00 PM,"Burlingame Recreation Center
850 Burlingame Avenue",Meeting details,Not available,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=33940&GUID=F11D9A43-A7AF-442E-A938-12473211F0BB,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=734641&GUID=5B959773-092B-4418-B8F6-56D000FBD791,,,,,,
5,City Council,11/18/2019,,7:00 PM,Council Chambers,Meeting details,Not available,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25800&GUID=49A65B48-716C-4766-B973-6F7546F8B699,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=718245&GUID=E4F134A0-B7D4-409C-9775-63139C56428D,,,,,,
6,Traffic Safety and Parking Commission,11/14/2019,,7:00 PM,Council Chambers,Meeting details,Not available,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25801&GUID=FAA85BB1-EA00-470F-A86F-B0647CF14D7E,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=720558&GUID=D9523297-65B8-45EA-885C-B45C7B97C55B,,,,,,
7,Planning Commission,11/12/2019,,7:00 PM,Council Chambers,Meeting details,Not available,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25809&GUID=061CE0CE-879F-4903-87D4-FBB8821B1251,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=710859&GUID=F251E5F2-E1F7-42D9-9069-635C9635DB00,,,,,,
8,City Council,11/4/2019,,7:00 PM,Council Chambers,Meeting details,Not available,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25800&GUID=49A65B48-716C-4766-B973-6F7546F8B699,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=718244&GUID=D0C5C497-EBEC-47BD-A2B0-3534AECDA8FB,,,,,,
9,Planning Commission,10/28/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Not available,https://burlingameca.legistar.com/DepartmentDetail.aspx?ID=25809&GUID=061CE0CE-879F-4903-87D4-FBB8821B1251,,https://burlingameca.legistar.com/View.ashx?M=IC&ID=710843&GUID=7A25CA31-60EF-4F1D-AF0E-4193B1928787,,,https://burlingameca.legistar.com/MeetingDetail.aspx?ID=710843&GUID=7A25CA31-60EF-4F1D-AF0E-4193B1928787&Options=info&Search=,https://burlingameca.legistar.com/View.ashx?M=A&ID=710843&GUID=7A25CA31-60EF-4F1D-AF0E-4193B1928787,,
