,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Presentations Text,Agenda Text,Agenda Packet Text,Minutes Text,Written Communications Text,YouTube Transcription Text,Video Text,Audio Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Presentations URL,Agenda URL,Agenda Packet URL,Minutes URL,Written Communications URL,YouTube Transcription URL,Video URL,Audio URL
0,Administrative Hearing,12/24/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726128&GUID=B9279B08-D313-4805-875B-07DDC1F98CE6,,,,,,,,,,,
1,Planning Commission,12/22/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726084&GUID=543FE05A-21CB-4992-888A-05F38499A2FC,,,,,,,,,,,
2,Design Review Committee,12/17/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726193&GUID=8D9CB2F3-0050-4C5D-9E44-628BC12830E9,,,,,,,,,,,
3,Environmental Review Committee,12/17/2020,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726237&GUID=178DF0D1-8682-4F5E-A3ED-485BAA158B32,,,,,,,,,,,
4,City Council,12/15/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22534&GUID=759DE527-B7CF-4B4C-88AB-B83875AB732D,,https://cupertino.legistar.com/View.ashx?M=IC&ID=732535&GUID=A51624F9-1B85-43C5-AA5E-7028AEE8CF44,,,,,,,,,,,
5,Administrative Hearing,12/10/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22535&GUID=583BF1FB-644B-4CB1-9972-D71D2380C28E,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726127&GUID=9CF76EFB-CADA-4D81-A11B-A78B382A0D9C,,,,,,,,,,,
6,Housing Commission,12/10/2020,,9:00 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23088&GUID=E3F97C7E-3705-41B8-907A-ABEDC50EDFF1,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726149&GUID=A5A6F2B2-2483-4D97-9510-3EAEB161BF23,,,,,,,,,,,
7,Planning Commission,12/8/2020,,6:45 PM,"10350 Torre Avenue, Council Chamber",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=22538&GUID=D3B7D79F-7049-469E-8B05-0E51C580B6E5,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726083&GUID=2AA5E02B-56D7-4651-A6ED-AB9748A815B6,,,,,,,,,,,
8,Design Review Committee,12/3/2020,,5:00 PM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23085&GUID=2B447559-086A-4000-9EEA-4BD3D28DF058,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726192&GUID=5798BB34-189D-43BA-85B5-E93A010CFCCE,,,,,,,,,,,
9,Environmental Review Committee,12/3/2020,,9:30 AM,"10300 Torre Avenue, City Hall Conference Room C",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://cupertino.legistar.com/DepartmentDetail.aspx?ID=23086&GUID=E2468B1F-ED78-49B3-B707-3A87188587B6,,https://cupertino.legistar.com/View.ashx?M=IC&ID=726233&GUID=97680AF8-2E83-4FDC-9140-1D7AAA980913,,,,,,,,,,,
