,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL
0,City Council,11/26/2019,,7:00 PM,"Council ChambersTHE CITY COUNCIL MEETING SCHEDULED FOR NOVEMBER 26, 2019 HAS BEEN CANCELED.",Meeting details,Not available,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=733728&GUID=3ED8884B-C1A4-415E-9047-9DEEF685C08F,,,,,,
1,Finance Commission,11/20/2019,,7:00 PM,Council Chambers,Meeting details,Not available,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30236&GUID=1A3FCCBF-2E26-457B-AA75-6C9C6ED96A0A,,https://hercules.legistar.com/View.ashx?M=IC&ID=733726&GUID=8F26A6B8-3E1D-4C7C-AF33-1E156A155FDD,,,,,,
2,Planning Commission,11/18/2019,,7:00 PM,Council Chambers,Meeting details,Not available,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=733724&GUID=BD2363C0-C826-43C5-9CB0-FE726C63D425,,,,,,
3,City Council,11/12/2019,,6:00 PM,"Council ChambersSPECIAL CLOSED SESSION - 6:00 P.M.
REGULAR SESSION - 7:00 P.M.",Meeting details,Not available,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=733727&GUID=88505ECB-8040-4859-843A-C6875F460ADF,,,,,,
4,Community and Library Services Commission,11/6/2019,,7:00 PM,COUNCIL CHAMBERSSPECIAL MEETING - 7:00 P.M.,Meeting details,Not available,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30849&GUID=72E0DE9C-8A05-4081-8D54-D1B5DFF4E25D,,https://hercules.legistar.com/View.ashx?M=IC&ID=733725&GUID=E5D051A4-9C87-4CAE-8992-6A7E0613B732,,,,,,
5,City Council,11/5/2019,,6:00 PM,Council ChambersSpecial Meeting - 6:00 p.m.,Meeting details,Not available,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=732983&GUID=4098AEBE-7056-4D1D-9B64-A6194618EF64,,,,,,
6,Planning Commission,11/4/2019,,7:00 PM,Council Chambers,Meeting details,Not available,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=733723&GUID=75CCA932-5870-428E-B4EE-0104844BA849,,,,,,
7,City Council,10/22/2019,,6:00 PM,"Council ChambersClosed Session - 6:00 p.m.
Regular Session - 7:00 p.m.",Meeting details,Agenda,Not available,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30235&GUID=55FE3BAF-4480-40FA-92B9-E00344787488,,https://hercules.legistar.com/View.ashx?M=IC&ID=710618&GUID=8ADC373E-8990-4632-93A1-E49FA54F307C,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=710618&GUID=8ADC373E-8990-4632-93A1-E49FA54F307C&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=710618&GUID=8ADC373E-8990-4632-93A1-E49FA54F307C,,https://hercules.legistar.com/#
8,Planning Commission,10/21/2019,,7:00 PM,Council Chambers,Meeting details,Agenda,Not available,Video,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30244&GUID=6582D31A-2568-40FF-91ED-28722D86B221,,https://hercules.legistar.com/View.ashx?M=IC&ID=710626&GUID=0FF2C3C5-D563-45AB-A69C-9BAB29FE2176,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=710626&GUID=0FF2C3C5-D563-45AB-A69C-9BAB29FE2176&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=710626&GUID=0FF2C3C5-D563-45AB-A69C-9BAB29FE2176,,https://hercules.legistar.com/#
9,Community and Library Services Commission,10/14/2019,,7:00 PM,"Council ChambersSPECIAL WORKSHOP - NONE
REGULAR MEETING - 7:00 P.M.",Meeting details,Agenda,Not available,Not available,https://hercules.legistar.com/DepartmentDetail.aspx?ID=30849&GUID=72E0DE9C-8A05-4081-8D54-D1B5DFF4E25D,,https://hercules.legistar.com/View.ashx?M=IC&ID=710625&GUID=664BEEC7-B9AF-4B23-9BBA-6BB210EBB774,,,https://hercules.legistar.com/MeetingDetail.aspx?ID=710625&GUID=664BEEC7-B9AF-4B23-9BBA-6BB210EBB774&Options=info&Search=,https://hercules.legistar.com/View.ashx?M=A&ID=710625&GUID=664BEEC7-B9AF-4B23-9BBA-6BB210EBB774,,
