,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Media Column Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Media Column URL
0,Rental Housing Committee,12/14/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722648&GUID=801B2EA0-9283-4EC1-A487-F665143BF24A,,,,,,
1,Rental Housing Committee,11/16/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722647&GUID=EA62131A-89B8-4199-B828-70E86FF41684,,,,,,
2,Rental Housing Committee,10/19/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722646&GUID=CEAAB7AA-1D5D-46C4-9E23-DE1CD1B2C082,,,,,,
3,Rental Housing Committee,9/21/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722645&GUID=18FCC767-D37C-460E-8E82-9D508647EF15,,,,,,
4,Rental Housing Committee,8/24/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722644&GUID=5DA4DB1E-3718-431D-94C0-6E4A8D3ED5EA,,,,,,
5,Rental Housing Committee,6/29/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722643&GUID=6A93BDA7-25B3-4099-B5DA-DAA6CE6030BE,,,,,,
6,Rental Housing Committee,6/1/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722642&GUID=111CA6F3-FEAA-40F2-89E7-4D403359DE4B,,,,,,
7,Rental Housing Committee,5/4/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722641&GUID=1433E8D8-875F-4C03-9E07-94C0BBA038AD,,,,,,
8,Rental Housing Committee,4/6/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722639&GUID=3DFF1070-7604-4C71-BA9F-0CD4AD98833F,,,,,,
9,Rental Housing Committee,3/9/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722636&GUID=12694256-748D-4C52-8150-E3686302F677,,,,,,
10,Rental Housing Committee,2/10/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722637&GUID=9578DBEA-2744-459F-973C-D4DC808B85CB,,,,,,
11,Rental Housing Committee,1/13/2020,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722638&GUID=F4AE082B-16FB-4655-9B2A-8EA05FC0FB11,,,,,,
12,Environmental Planning Commission,12/18/2019,,7:00 PM,MEETING CANCELLED,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=724551&GUID=8A24BC76-BBDC-46F8-B61B-DA6BC4E01285,,,,,,
13,City Council,12/13/2019,,9:00 AM,Location to be determinedClosed Session: City Manager Candidate Interviews,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=725327&GUID=7A8C9EB0-D76D-4C21-B1B0-9CDE3EF4156E,,,,,,
14,City Council,12/12/2019,,8:00 AM,Location to be determinedClosed Session: City Manager Candidate Interviews,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=725326&GUID=E68AEDDB-7DE8-48C6-8714-719428489983,,,,,,
15,City Council,12/10/2019,,6:30 PM,"Council Chambers - 500 Castro St., Mountain View, CA 94041",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=655827&GUID=AEEC7287-050E-4A21-8A77-88929BD1C279,,,,,,
16,Rental Housing Committee,12/9/2019,,7:00 PM,Council Chambers - 500 Castro,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=718004&GUID=88E3D574-B3E8-4F3D-9516-05CC0D6EE61E,,,,,,
17,Human Relations Commission,12/5/2019,,6:30 PM,Plaza Conference Room,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=715443&GUID=BB615C1A-18B5-4F64-926A-EC7559EF567B,,,,,,
18,Environmental Planning Commission,12/4/2019,,7:00 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=724550&GUID=163CB058-83F3-4CDF-A2F6-BF56D01A46FB,,,,,,
19,City Council,12/3/2019,,6:30 PM,"Council Chambers - 500 Castro St., Mountain View, CA 94041",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=655826&GUID=5516ADB7-CC51-4FC4-8F67-44795CFDDF45,,,,,,
20,Bicycle/Pedestrian Advisory Committee,11/27/2019,,6:30 PM,Plaza Conference Room,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=672772&GUID=2389465A-C6CF-4544-9C2D-5316BC8D6DA7,,,,,,
21,Environmental Planning Commission,11/20/2019,,7:00 PM,"Council Chambers, 500 Castro St., Mountain View, CA 94041",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=724549&GUID=63AA6123-1247-47EA-A45B-D286ACDCD2F8,,,,,,
22,Performing Arts Committee,11/20/2019,,6:15 PM,Atrium Conference Room,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=673925&GUID=58D76023-BA0E-4AEE-89DE-163BEA2BA632,,,,,,
23,City Council,11/18/2019,,6:30 PM,"Council Chambers - 500 Castro St., Mountain View, CA 94041SPECIAL CITY COUNCIL MEETING",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=655835&GUID=6D8DEF44-E540-415F-AABA-A8A2A75940B7,,,,,,
24,City Council,11/12/2019,,6:30 PM,"Council Chambers - 500 Castro St., Mountain View, CA 94041",Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=655825&GUID=F5A9845B-B376-4BA3-B3A7-8336DB54CD77,,,,,,
25,Human Relations Commission,11/7/2019,,6:30 PM,Plaza Conference Room,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=715436&GUID=011FFE7D-3428-491E-BEBA-111DB7E9ACE0,,,,,,
26,Community Stabilization and Fair Rent Act (CSFRA) Council Ad-Hoc Subcommittee,11/6/2019,,7:00 PM,Location to be determined,Meeting details,Not available,Not available,Not available,,,View.ashx?M=IC&ID=722585&GUID=42358D1B-BE9C-42F8-8698-73999A2146D7,,,,,,
