,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Audio/Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Audio/Video URL
0,Metropolitan Transportation Commission,12/18/2019,,9:45 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=734679&GUID=38D6D21E-8B96-4E7E-83B1-72FC4D09972F,,,,,,
1,Bay Area Headquarters Authority,12/18/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=734676&GUID=A4334087-3C7C-4878-8B73-79624122D0F6,,,,,,
2,Bay Area Toll Authority,12/18/2019,,9:35 AM,Board Room – 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=734675&GUID=90026649-6975-4F44-AC60-31FE56FC2E12,,,,,,
3,Bay Area Infrastructure Financing Authority,12/18/2019,,9:30 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=734674&GUID=8BD7AD40-99E2-4C78-95FC-B166FD5075AA,,,,,,
4,Programming and Allocations Committee,12/11/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=732921&GUID=7647B594-C270-4E08-9195-0DF1D6D323D4,,,,,,
5,Administration Committee,12/11/2019,,9:35 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=732920&GUID=51D310FF-5AFC-4F69-8EDE-A4BE2562B509,,,,,,
6,Bay Area Toll Authority Oversight Committee,12/11/2019,,9:30 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=732919&GUID=33D5EF91-184B-456A-AE2C-4F77A84DF4E9,,,,,,
7,ABAG Regional Planning Committee,12/4/2019,,1:00 PM,Yerba Buena - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=724249&GUID=79887EAC-75A3-4F32-9AFC-B00D56AED8FB,,,,,,
8,ABAG Executive Board,11/21/2019,,7:00 PM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=721143&GUID=83D1BCFE-27AF-4DBE-85BC-A90D7F59FF17,,,,,,
9,ABAG ACFA Governing Board,11/21/2019,,5:10 PM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=721152&GUID=48064276-E7B6-4F15-A314-1689DDB28725,,,,,,
