,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL,eComment URL
0,Special Concurrent Meeting of the Education Partnership Committee and the Oakland Unified School District Board of Education,11/18/2019,,5:30 PM,City Council Chamber - 3rd Floor,Meeting details,Not available,Not available,Not available,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=712238&GUID=94D9FFB1-D771-404F-8E29-E841251E5F32,,,,,,,
1,*Rules & Legislation Committee,11/7/2019,,10:45 AM,"City Council Chamber, 3rd Floor",Meeting details,Agenda,Not available,Not available,eComment,,,https://oakland.legistar.com/View.ashx?M=IC&ID=732693&GUID=A2034C72-1E24-412D-9BAC-8E18C8E43467,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=732693&GUID=A2034C72-1E24-412D-9BAC-8E18C8E43467&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=732693&GUID=A2034C72-1E24-412D-9BAC-8E18C8E43467,,,https://oakland.legistar.com/https://oakland.granicusideas.com/meetings/3779-star-rules-and-legislation-committee-on-2019-11-07-10-45-am
2,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,11/5/2019,,4:30 PM,"City Council Chamber, 3rd Floor",Meeting details,Agenda,Not available,Not available,eComment,,,https://oakland.legistar.com/View.ashx?M=IC&ID=726618&GUID=56726369-3125-401E-9994-FB531D748ABD,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=726618&GUID=56726369-3125-401E-9994-FB531D748ABD&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=726618&GUID=56726369-3125-401E-9994-FB531D748ABD,,,https://oakland.legistar.com/https://oakland.granicusideas.com/meetings/3780-special-concurrent-meeting-of-the-oakland-redevelopment-successor-agency-slash-city-council-on-2019-11-05-4-30-pm
3,*Special Rules and Legislation Committee,10/31/2019,,10:15 AM,"City Council Chamber, 3rd Floor",Meeting details,Agenda,Not available,Not available,eComment,,,https://oakland.legistar.com/View.ashx?M=IC&ID=726611&GUID=A7E5ACDF-285F-4E4D-9667-CD59A5BBD0CC,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=726611&GUID=A7E5ACDF-285F-4E4D-9667-CD59A5BBD0CC&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=726611&GUID=A7E5ACDF-285F-4E4D-9667-CD59A5BBD0CC,,,https://oakland.legistar.com/https://oakland.granicusideas.com/meetings/3777-star-special-rules-and-legislation-committee-on-2019-10-31-10-15-am
4,* Special Meeting of the Oakland City Council - CANCELLED,10/29/2019,,5:30 PM,"City Council Chamber, 3rd Floor",Meeting details,Agenda,Not available,Not available,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=726612&GUID=B2A6B84A-5D8C-42ED-9BDE-A0A997F74427,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=726612&GUID=B2A6B84A-5D8C-42ED-9BDE-A0A997F74427&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=726612&GUID=B2A6B84A-5D8C-42ED-9BDE-A0A997F74427,,,
5,*Rules & Legislation Committee,10/24/2019,,10:45 AM,"City Council Chamber, 3rd Floor",Meeting details,Agenda,Not available,Not available,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=724840&GUID=9A813140-27F6-4868-9F86-C79AA508CF2D,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=724840&GUID=9A813140-27F6-4868-9F86-C79AA508CF2D&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=724840&GUID=9A813140-27F6-4868-9F86-C79AA508CF2D,,,
6,*Public Safety Committee,10/22/2019,,6:00 PM,Sgt. Mark Dunakin Room - 1st Floor,Meeting details,Agenda,Not available,Video,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=725242&GUID=7E77721A-63F9-4359-837B-92BDF38931DC,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=725242&GUID=7E77721A-63F9-4359-837B-92BDF38931DC&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=725242&GUID=7E77721A-63F9-4359-837B-92BDF38931DC,,https://oakland.legistar.com/#,
7,*Life Enrichment Committee,10/22/2019,,4:00 PM,Sgt. Mark Dunakin Room - 1st Floor,Meeting details,Agenda,Not available,Video,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=724839&GUID=C9C175CF-0E8B-400A-9DA8-6F7E205D5544,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=724839&GUID=C9C175CF-0E8B-400A-9DA8-6F7E205D5544&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=724839&GUID=C9C175CF-0E8B-400A-9DA8-6F7E205D5544,,https://oakland.legistar.com/#,
8,*Community & Economic Development Committee,10/22/2019,,1:30 PM,Sgt. Mark Dunakin Room - 1st Floor,Meeting details,Agenda,Not available,Video,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=725241&GUID=81846683-2E6D-4C6C-84D5-45BC05C3210F,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=725241&GUID=81846683-2E6D-4C6C-84D5-45BC05C3210F&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=725241&GUID=81846683-2E6D-4C6C-84D5-45BC05C3210F,,https://oakland.legistar.com/#,
9,*Special Public Works Committee,10/22/2019,,12:00 PM,"Sgt. Mark Dunakin Room - 1st FloorCANCELLATION NOTICE 

The Special Public Works Committee has been cancelled. The next scheduled meeting will be held on November 12, 2019",Meeting details,Agenda,Not available,Not available,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=724838&GUID=889CC758-6AEC-4881-A465-B7BB3D39AF7C,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=724838&GUID=889CC758-6AEC-4881-A465-B7BB3D39AF7C&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=724838&GUID=889CC758-6AEC-4881-A465-B7BB3D39AF7C,,,
10,*Finance & Management Committee,10/22/2019,,9:30 AM,City Council Chamber - 3rd Floor,Meeting details,Agenda,Not available,Video,Not available,,,https://oakland.legistar.com/View.ashx?M=IC&ID=725240&GUID=46FB5846-E99B-4216-8448-66496691D9D1,,,https://oakland.legistar.com/MeetingDetail.aspx?ID=725240&GUID=46FB5846-E99B-4216-8448-66496691D9D1&Options=info&Search=,https://oakland.legistar.com/View.ashx?M=A&ID=725240&GUID=46FB5846-E99B-4216-8448-66496691D9D1,,https://oakland.legistar.com/#,
