,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL,eComment URL
0,City Council,6/30/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712199&GUID=7F31E9C2-FB4C-4A4F-8F66-5EC16986A294,,,,,,,
1,City Council,6/23/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712198&GUID=09EDE554-8946-4AAB-BCE5-8434705EC5E0,,,,,,,
2,Community & Economic Development Committee (CED),6/22/2020,,1:30 PM,Wing Rooms W118 - W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21680&GUID=37CAF97D-86D4-4A85-8E07-BF7EA67F55CD,,View.ashx?M=IC&ID=712293&GUID=5C09AE12-A14D-4066-A1C1-E0CB51CC5EE6,,,,,,,
3,"Public Safety, Finance and Strategic Support Committee (PSFSS)",6/18/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30890&GUID=AD2BBF1D-A701-4CDE-B9FC-851732F4751B,,View.ashx?M=IC&ID=712288&GUID=AAD9F928-4A42-459C-AEAB-5015ABB10835,,,,,,,
4,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,6/17/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712225&GUID=34A5228B-93D2-4579-B2F9-6BAECC106F59,,,,,,,
5,City Council,6/16/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712197&GUID=7E95C0BF-5B35-4E18-9ACA-9308FBEF2A85,,,,,,,
6,Neighborhood Services and Education Committee (NSE),6/11/2020,,1:30 PM,Wing Rooms 118-120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21678&GUID=9BE13212-2A5F-4E35-9334-75E444952FA6,,View.ashx?M=IC&ID=712277&GUID=34333CA2-59F1-4D93-B77C-88C25E308D67,,,,,,,
7,Joint Meeting for the Rules and Open Government Committee and Committee of the Whole,6/10/2020,,2:00 PM,Wing Rooms W118-W120,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36262&GUID=C61F4090-B945-4162-94EC-A504FDB7035D,,View.ashx?M=IC&ID=712224&GUID=59D805A3-07AA-431A-96AC-8B524551CA37,,,,,,,
8,City Council,6/9/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=21676&GUID=ACCCCFF5-F14A-4E1A-8540-9065F45A8A90,,View.ashx?M=IC&ID=712193&GUID=A380D63E-71F6-4C41-BEB4-D7272C96A0AE,,,,,,,
9,Smart Cities and Service Improvements Committee,6/4/2020,,1:30 PM,Council Chambers,Meeting details,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=30888&GUID=A22EB8DC-1A6B-4E86-AFA5-0A8150476A33,,View.ashx?M=IC&ID=712271&GUID=D0CB9815-5CF4-44D3-AB75-220896D4F336,,,,,,,
