,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video/Audio Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video/Audio URL
0,City Council,12/16/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714109&GUID=2D5F4000-7FE0-4222-9331-87119FF9C665,,,,,,
1,City Council,12/9/2019,,7:00 PM,City Council ChambersWork Session,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714108&GUID=BDCD2286-FD11-4A98-908D-BFBCB2676911,,,,,,
2,Planning Commission and Board of Zoning Adjustments,12/5/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=718065&GUID=5281685F-DF2A-4AFD-9CEB-D63E8A6874FC,,,,,,
3,City Council,12/2/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714107&GUID=1E7F0307-9214-4EE1-A6F9-CB00820E60BA,,,,,,
4,City Council,11/18/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714106&GUID=EDD2764D-CC8A-475E-A4BE-59CF3E0F6B67,,,,,,
5,City Council,11/12/2019,,7:00 PM,City Council ChambersWork Session,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714105&GUID=527EF6DA-BEBD-4C7D-BFEC-663E7ACFF5E7,,,,,,
6,Planning Commission and Board of Zoning Adjustments,11/7/2019,,7:00 PM,City Council ChambersMEETING CANCELLED,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=718064&GUID=BAE5C11B-FC9B-4293-91D3-9C40ED86ACE0,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=718064&GUID=BAE5C11B-FC9B-4293-91D3-9C40ED86ACE0&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=718064&GUID=BAE5C11B-FC9B-4293-91D3-9C40ED86ACE0,,
7,Facilities & Transportation Committee,11/6/2019,,4:00 PM,"City Hall, Sister Cities Gallery",Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=732938&GUID=97760F8B-F6BA-4F4D-B786-F19B6E017AB2,,,,,,
8,City Council,11/4/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714104&GUID=014120BC-20ED-4D40-982A-78C5F01FA4FE,,,,,,
9,Human Services Commission,10/23/2019,,7:00 PM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=726807&GUID=7F05ECBC-38F8-4818-8210-A61D67E58A33,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=726807&GUID=7F05ECBC-38F8-4818-8210-A61D67E58A33&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=726807&GUID=7F05ECBC-38F8-4818-8210-A61D67E58A33,,
10,Arts Commission,10/23/2019,,6:30 PM,"Historic Peralta House
561 Lafayette Ave., San Leandro, CA 94577Note location change: the Arts Commission meeting of Wednesday, October 23 will be held at the Historic Peralta House at 561 Lafayette Ave., San Leandro.",Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=722329&GUID=240491FB-FE19-4011-8F75-34B9D3159E92,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=722329&GUID=240491FB-FE19-4011-8F75-34B9D3159E92&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=722329&GUID=240491FB-FE19-4011-8F75-34B9D3159E92,,https://sanleandro.legistar.com/#
11,Rent Review Board,10/22/2019,,7:00 PM,City Council Chambers,Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=726660&GUID=DFC9642D-723D-4FA5-9E33-8490EB88D6E2,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=726660&GUID=DFC9642D-723D-4FA5-9E33-8490EB88D6E2&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=726660&GUID=DFC9642D-723D-4FA5-9E33-8490EB88D6E2,,https://sanleandro.legistar.com/#
12,City Council,10/22/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=732937&GUID=C9A3B5BA-5913-419D-93DF-36CA46987747,,,,,,
13,City Council,10/21/2019,,7:00 PM,City Council Chambers,Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714103&GUID=91E6EF53-9279-4DD6-885A-63FF4D34207E,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=714103&GUID=91E6EF53-9279-4DD6-885A-63FF4D34207E&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=714103&GUID=91E6EF53-9279-4DD6-885A-63FF4D34207E,,https://sanleandro.legistar.com/#
14,City Council,10/21/2019,,6:00 PM,City Manager's Large Conference RoomSpecial Meeting and Closed Session,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=726931&GUID=AA76FAF2-A640-4DB4-BD0B-55443A4D1299,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=726931&GUID=AA76FAF2-A640-4DB4-BD0B-55443A4D1299&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=726931&GUID=AA76FAF2-A640-4DB4-BD0B-55443A4D1299,,
15,Personnel Relations Board,10/17/2019,,5:30 PM,"City Hall, Human Resources Conference RoomNotice of Cancellation",Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=676100&GUID=76288FEA-699A-4CD3-B46D-C605DBBA6F6D,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=676100&GUID=76288FEA-699A-4CD3-B46D-C605DBBA6F6D&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=676100&GUID=76288FEA-699A-4CD3-B46D-C605DBBA6F6D,,
16,Senior Commission,10/17/2019,,1:00 PM,Senior Community Center 13909 E. 14th St.Notice of Special Meeting - Senior Commission Forum,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=726861&GUID=B52DD0FB-5E9E-4614-8B76-247D507F3350,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=726861&GUID=B52DD0FB-5E9E-4614-8B76-247D507F3350&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=726861&GUID=B52DD0FB-5E9E-4614-8B76-247D507F3350,,
17,Senior Commission,10/17/2019,,10:00 AM,Senior Community Center 13909 E. 14th St.,Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=725860&GUID=8070CC73-AC51-49AC-B8EE-239FCA60F01D,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=725860&GUID=8070CC73-AC51-49AC-B8EE-239FCA60F01D&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=725860&GUID=8070CC73-AC51-49AC-B8EE-239FCA60F01D,,https://sanleandro.legistar.com/#
18,Library-Historical Commission,10/15/2019,,7:00 PM,"Main Library, Conference Room BMEETING CANCELLED",Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=722033&GUID=8393FBF9-AA40-4F50-AC2D-056A2B16F659,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=722033&GUID=8393FBF9-AA40-4F50-AC2D-056A2B16F659&Options=info&Search=,,,
19,City Council,10/14/2019,,7:00 PM,City Council ChambersNotice of Cancellation,Meeting details,Agenda,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714102&GUID=907C3BF9-AEA3-4170-B74E-30E0D412CEBC,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=714102&GUID=907C3BF9-AEA3-4170-B74E-30E0D412CEBC&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=714102&GUID=907C3BF9-AEA3-4170-B74E-30E0D412CEBC,,
20,Rules Committee,10/10/2019,,8:30 AM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=724154&GUID=2DD1786B-7037-4C6E-9BB0-E97A30B79771,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=724154&GUID=2DD1786B-7037-4C6E-9BB0-E97A30B79771&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=724154&GUID=2DD1786B-7037-4C6E-9BB0-E97A30B79771,,https://sanleandro.legistar.com/#
21,City Council,10/9/2019,,7:00 PM,City Council Chambers,Meeting details,Not available,Not available,Not available,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=725859&GUID=FF52023C-C76A-4399-A761-55734B700B19,,,,,,
22,Finance Committee,10/8/2019,,5:30 PM,"City Hall, Sister Cities Gallery",Meeting details,Agenda,Not available,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=724781&GUID=4945B6A7-8E8E-4F84-A27A-5B9A7E5E94CC,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=724781&GUID=4945B6A7-8E8E-4F84-A27A-5B9A7E5E94CC&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=724781&GUID=4945B6A7-8E8E-4F84-A27A-5B9A7E5E94CC,,https://sanleandro.legistar.com/#
23,City Council,10/7/2019,,7:00 PM,City Council Chambers,Meeting details,Agenda,Minutes,Play,,,https://sanleandro.legistar.com/View.ashx?M=IC&ID=714101&GUID=540E3A45-2299-441A-994C-5105E4C7DAD4,,,https://sanleandro.legistar.com/MeetingDetail.aspx?ID=714101&GUID=540E3A45-2299-441A-994C-5105E4C7DAD4&Options=info&Search=,https://sanleandro.legistar.com/View.ashx?M=A&ID=714101&GUID=540E3A45-2299-441A-994C-5105E4C7DAD4,https://sanleandro.legistar.com/View.ashx?M=M&ID=714101&GUID=540E3A45-2299-441A-994C-5105E4C7DAD4,https://sanleandro.legistar.com/#
