,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Agenda Packet Text,Video or Audio Text,Caption Notes Text,eComment Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Agenda Packet URL,Video or Audio URL,Caption Notes URL,eComment URL
0,Council and Authorities Concurrent Meeting,9/9/9999,,7:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=593527&GUID=E3A9F8CB-AC8E-4BC5-9C5B-485ED45EB907,,,,,,,,,
1,Council and Authorities Concurrent Meeting,9/9/9999,,7:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=708649&GUID=42BEB70F-2592-444F-A4DD-2AB079D732E9,,,,,,,,,
2,Council and Authorities Concurrent Meeting,9/9/9999,,7:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=714813&GUID=0287990F-C015-4039-829B-899F6D1D5178,,,,,,,,,
3,Council and Authorities Concurrent Meeting,12/15/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726209&GUID=51628587-F5D3-40EE-A07E-2544D1807240,,,,,,,,,
4,Council and Authorities Concurrent Meeting,12/8/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726208&GUID=B9B46910-7ABA-4929-9700-B632FA3FF1C6,,,,,,,,,
5,Youth Commission,12/8/2020,,6:00 PM,"Teen Center
2446 Cabrillo Avenue
Santa Clara, CA 95051",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36909&GUID=A481232D-8B63-4D4C-B474-D6E8073824D5,,View.ashx?M=IC&ID=732179&GUID=1A8D9670-43CE-4B8D-9DAA-7A9139000584,,,,,,,,,
6,Cultural Commission,12/7/2020,,7:00 PM,"Senior Center
1303 Fremont Street
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36857&GUID=1E0D50C1-B2ED-41AF-9F51-3C7EC8552C02,,View.ashx?M=IC&ID=731412&GUID=D31B9981-C731-4C97-9C3B-55B499EBA796,,,,,,,,,
7,Historical & Landmarks Commission,12/3/2020,,6:00 PM,"City Hall Council Chambers
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=36903&GUID=A83EA478-DF0E-4ADC-99F9-CFDBC478A463,,View.ashx?M=IC&ID=722964&GUID=2B6CA453-C2C3-4989-A414-F2F16C2FFA39,,,,,,,,,
8,Council and Authorities Concurrent Meeting,11/17/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35649&GUID=32E11AAE-9E2A-411B-97B2-D576D68DEF1B,,View.ashx?M=IC&ID=726206&GUID=9D1B623F-6345-412A-B558-322D2D6D0F88,,,,,,,,,
9,Santa Clara Stadium Authority,11/17/2020,,6:00 PM,"City Hall Council Chambers 
1500 Warburton Avenue
Santa Clara, CA 95050",Meeting details,Not available,Not available,Not available,Not available,Not available,Not available,DepartmentDetail.aspx?ID=35682&GUID=30845DA9-0D60-47E0-AE23-BE8C9A5500BB,,View.ashx?M=IC&ID=726207&GUID=D151CF88-ACBB-475B-8D19-F41CD34F8120,,,,,,,,,
