,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Video URL
0,City Council,12/25/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719503&GUID=6D93B3A5-368F-49CF-9929-26D7E37CD12F,,,,,
1,Successor Agency to the Redevelopment Agency,12/25/2019,,6:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32814&GUID=BBE8CEFA-3AE9-47A2-8845-BE6A5AF1ABC0,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719504&GUID=EDC5A27E-8401-4D59-A7BD-C30510128021,,,,,
2,School District Liaison Standing Committee of the City Council,12/17/2019,,3:00 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32887&GUID=4E5BCE5C-2AC9-4B71-86D0-D5B1B6A59017,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688744&GUID=1750EDA2-2FFF-48C5-AD31-4D8CF2713EFB,,,,,
3,City Council,12/11/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719502&GUID=6F7845F2-5146-441D-A773-63AD72EA5191,,,,,
4,Special City Council,12/11/2019,,6:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=723423&GUID=CEAEC2A5-E3CC-4771-8057-1D5A98517EEB,,,,,
5,Measure W Citizens' Oversight Committee,12/4/2019,,6:30 PM,"City Hall, City Manager's Conference Room
400 Grand Avenue, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32886&GUID=A2D91238-E1E8-48B7-A7EC-F23077B8F727,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=688287&GUID=FEAE6A01-5636-4B90-8500-50E2CAC84CC4,,,,,
6,Special City Council,12/3/2019,,5:00 PM,TBDCOUNCIL REORGANIZATION,Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=723418&GUID=C3E451A4-2BE6-4A65-97E7-A5199CA51162,,,,,
7,City Council,11/27/2019,,7:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32599&GUID=49FB66DF-7416-497B-AD48-CFD01E4669A6,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719500&GUID=B2224DCD-BFB6-41EB-9340-0B3F4B4854A8,,,,,
8,Successor Agency to the Redevelopment Agency,11/27/2019,,6:30 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=32814&GUID=BBE8CEFA-3AE9-47A2-8845-BE6A5AF1ABC0,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=719501&GUID=DD5B59FD-CD7E-466E-8B7F-9600C1570EA4,,,,,
9,Special City Council,11/25/2019,,6:00 PM,"Municipal Services Building, Council Chambers
33 Arroyo Drive, South San Francisco, CA",Meeting details,Not available,Not available,https://ci-ssf-ca.legistar.com/DepartmentDetail.aspx?ID=33087&GUID=E15F4366-2ACB-4FF2-98D1-660D3059F53A,,https://ci-ssf-ca.legistar.com/View.ashx?M=IC&ID=720031&GUID=46602CC8-C2E4-4DDF-BECF-3C6D1B31A622,,,,,
