,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL
0,City Council Special,10/29/2019,,4:00 PM,"Council Chamber, City Hall, 425 N. El Dorado Street, Stockton CASpecial Closed Session 4:00 PM :: Special Session 5:30 PM",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22117&GUID=E430BF1E-C53B-4888-997A-77674CDD997B,,https://stockton.legistar.com/View.ashx?M=IC&ID=723309&GUID=5A767531-53DE-43B1-A2F1-6C4358282B32,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=723309&GUID=5A767531-53DE-43B1-A2F1-6C4358282B32&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=723309&GUID=5A767531-53DE-43B1-A2F1-6C4358282B32,,
1,Council Audit Committee,10/28/2019,,3:30 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=21720&GUID=C323CDF5-4077-4351-BC2C-4A91756C2DC3,,https://stockton.legistar.com/View.ashx?M=IC&ID=721146&GUID=9FFDEDD1-BFB6-42BD-983B-63D4152E8F7A,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=721146&GUID=9FFDEDD1-BFB6-42BD-983B-63D4152E8F7A&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=721146&GUID=9FFDEDD1-BFB6-42BD-983B-63D4152E8F7A,,
2,Planning Commission,10/24/2019,,5:30 PM,"Council Chamber, City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Agenda Packet,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22178&GUID=3798BB13-BAB3-44E6-BC29-0345411F84DC,,https://stockton.legistar.com/View.ashx?M=IC&ID=653535&GUID=A331F98D-009E-495F-ACA5-1022F6C39F05,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=653535&GUID=A331F98D-009E-495F-ACA5-1022F6C39F05&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=653535&GUID=A331F98D-009E-495F-ACA5-1022F6C39F05,,
3,Community Development Committee,10/24/2019,,3:00 PM,"Economic Development Department, 400 E. Main Street, 4th Floor, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=23046&GUID=F4737385-935B-45E1-BED4-AA672324E1B7,,https://stockton.legistar.com/View.ashx?M=IC&ID=732573&GUID=1B77DE6D-C57D-4BFA-8583-3DB752CD46C6,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=732573&GUID=1B77DE6D-C57D-4BFA-8583-3DB752CD46C6&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=732573&GUID=1B77DE6D-C57D-4BFA-8583-3DB752CD46C6,,
4,City Council/Successor Agency to the Redevelopment Agency/Public Financing Authority/Parking Authority Concurrent,10/22/2019,,4:00 PM,"Council Chamber, City Hall, 425 N. El Dorado Street, Stockton CA** CANCELLED **",Meeting details,Notice of Cancelled Meeting,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=20742&GUID=D8BDACAC-407F-44E9-9768-9B33C389D164,,https://stockton.legistar.com/View.ashx?M=IC&ID=659158&GUID=D987E1D5-EDE5-4E8C-BCAF-F7A3D0974A3E,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=659158&GUID=D987E1D5-EDE5-4E8C-BCAF-F7A3D0974A3E&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=659158&GUID=D987E1D5-EDE5-4E8C-BCAF-F7A3D0974A3E,,
5,Civil Service/Equal Employment Commission Concurrent,10/17/2019,,3:00 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22179&GUID=EFA0F03E-6C5C-481F-B556-EC259E22A8EE,,https://stockton.legistar.com/View.ashx?M=IC&ID=692840&GUID=C3FC3A0F-5256-4271-9BB0-1D5407468B71,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=692840&GUID=C3FC3A0F-5256-4271-9BB0-1D5407468B71&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=692840&GUID=C3FC3A0F-5256-4271-9BB0-1D5407468B71,,
6,Mayor's Task Force For Persons With Disabilities,10/16/2019,,3:00 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=35418&GUID=E9039430-EAD6-4355-93BE-2801D5D6542A,,https://stockton.legistar.com/View.ashx?M=IC&ID=644321&GUID=3C96BB74-26D8-48BA-9112-D1FB5D57E869,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=644321&GUID=3C96BB74-26D8-48BA-9112-D1FB5D57E869&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=644321&GUID=3C96BB74-26D8-48BA-9112-D1FB5D57E869,,
7,Measure A Citizens' Advisory Committee,10/16/2019,,9:00 AM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA** SPECIAL **",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=33312&GUID=4582E7C8-14DE-4360-BB88-1B7F600FDFEE,,https://stockton.legistar.com/View.ashx?M=IC&ID=725558&GUID=D5DA843E-ED00-4282-A100-0DE69D621F38,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=725558&GUID=D5DA843E-ED00-4282-A100-0DE69D621F38&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=725558&GUID=D5DA843E-ED00-4282-A100-0DE69D621F38,,
8,Mayor's Task Force on Affordable and Workforce Housing,10/15/2019,,3:00 PM,"City Hall - 3rd Floor Conference Room, 425 N. El Dorado Street, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=37349&GUID=A7EC6A91-2EC5-4225-816F-B3676AA70432,,https://stockton.legistar.com/View.ashx?M=IC&ID=725936&GUID=05ED372F-0E73-4233-B168-FB8A52B2B178,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=725936&GUID=05ED372F-0E73-4233-B168-FB8A52B2B178&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=725936&GUID=05ED372F-0E73-4233-B168-FB8A52B2B178,,
9,Planning Commission,10/10/2019,,5:30 PM,"Council Chamber, City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22178&GUID=3798BB13-BAB3-44E6-BC29-0345411F84DC,,https://stockton.legistar.com/View.ashx?M=IC&ID=653534&GUID=46075E68-059A-4A9D-AA27-48DC2D725708,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=653534&GUID=46075E68-059A-4A9D-AA27-48DC2D725708&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=653534&GUID=46075E68-059A-4A9D-AA27-48DC2D725708,,
10,Council Water Committee,10/10/2019,,4:00 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA** CANCELLED **",Meeting details,Notice of Cancelled Meeting,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22177&GUID=DCAC49D0-9417-48E3-B697-3746F8FFA5F6,,https://stockton.legistar.com/View.ashx?M=IC&ID=723137&GUID=824470CE-FE43-44C5-8B49-1AFA3E793D4A,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=723137&GUID=824470CE-FE43-44C5-8B49-1AFA3E793D4A&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=723137&GUID=824470CE-FE43-44C5-8B49-1AFA3E793D4A,,
11,Measure W Oversight Committee,10/9/2019,,2:30 PM,"Council Chamber - City Hall, 425 N. El Dorado Street, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=33313&GUID=A81494E4-4F9D-4B63-B676-65586023E27A,,https://stockton.legistar.com/View.ashx?M=IC&ID=711006&GUID=C5CEECB3-886A-4B75-9DF8-EB8F740D8E0E,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=711006&GUID=C5CEECB3-886A-4B75-9DF8-EB8F740D8E0E&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=711006&GUID=C5CEECB3-886A-4B75-9DF8-EB8F740D8E0E,,
12,City Council/Successor Agency to the Redevelopment Agency/Public Financing Authority/Parking Authority Concurrent,10/8/2019,,4:00 PM,"Council Chamber, City Hall, 425 N. El Dorado Street, Stockton CAClosed Session 4:00 PM :: Regular Session 5:30 PM",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=20742&GUID=D8BDACAC-407F-44E9-9768-9B33C389D164,,https://stockton.legistar.com/View.ashx?M=IC&ID=649169&GUID=B8D32259-A8B0-479C-A74B-B348CAA8904A,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=649169&GUID=B8D32259-A8B0-479C-A74B-B348CAA8904A&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=649169&GUID=B8D32259-A8B0-479C-A74B-B348CAA8904A,,
13,Stockton Arts Commission,10/7/2019,,5:30 PM,"Oak Park Senior Center, Arts & Crafts Room, 730 E. Fulton Street, Stockton CA",Meeting details,Agenda Packet,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=22183&GUID=B2B39B26-5801-49BA-ACE3-AD5BC8356DC1,,https://stockton.legistar.com/View.ashx?M=IC&ID=724568&GUID=1785C0C9-787F-4CCB-893B-3DF0593A38A7,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=724568&GUID=1785C0C9-787F-4CCB-893B-3DF0593A38A7&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=724568&GUID=1785C0C9-787F-4CCB-893B-3DF0593A38A7,,
14,Community Development Committee,10/3/2019,,3:00 PM,"Economic Development Department, 400 E. Main Street, 4th Floor, Stockton CA",Meeting details,Agenda,Not available,Not available,https://stockton.legistar.com/DepartmentDetail.aspx?ID=23046&GUID=F4737385-935B-45E1-BED4-AA672324E1B7,,https://stockton.legistar.com/View.ashx?M=IC&ID=723724&GUID=744C121C-E64E-4BCB-AE57-C8D04C21F260,,,https://stockton.legistar.com/MeetingDetail.aspx?ID=723724&GUID=744C121C-E64E-4BCB-AE57-C8D04C21F260&Options=info&Search=,https://stockton.legistar.com/View.ashx?M=A&ID=723724&GUID=744C121C-E64E-4BCB-AE57-C8D04C21F260,,
