,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Audio/Video Text,Audio Text,Caption Notes Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Audio/Video URL,Audio URL,Caption Notes URL
0,City Council,2/25/2021,,8:30 AM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Study/Budget Issues Workshop",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733769&GUID=88628981-2EEF-445C-B870-7E276471F784,,,,,,,,
1,City Council,2/23/2021,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733768&GUID=F88F11F1-AE4B-44D5-8D7D-8904BFB8F4DE,,,,,,,,
2,City Council,2/2/2021,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733767&GUID=AA5EFD4F-4E7A-4D61-8829-3E27137730EF,,,,,,,,
3,City Council,1/28/2021,,8:30 AM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting - Strategic Plannig Workshop",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733766&GUID=FEEC36BD-0BF6-4E33-8EE2-B56FE045FBDB,,,,,,,,
4,City Council,1/26/2021,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733765&GUID=AF3AE1D7-DD8D-403C-9443-7346502BEB8D,,,,,,,,
5,City Council,1/12/2021,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733764&GUID=C2EAC5EA-DD8E-4F86-9DE9-AC73BC76F1D8,,,,,,,,
6,City Council,1/5/2021,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733758&GUID=AECC5500-0D31-4DF4-B856-9ABE34BCFFB2,,,,,,,,
7,Housing and Human Services Commission,12/23/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Meeting Canceled",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726298&GUID=581C7BBF-F065-4446-8D21-05B1CCB7E04C,,,,,,,,
8,Housing and Human Services Commission,12/16/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726291&GUID=D2473D62-810A-45D0-9E62-0FCF832A329A,,,,,,,,
9,City Council,12/8/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733757&GUID=63225169-B8AB-4EF6-9D43-8489361C29A7,,,,,,,,
10,City Council,12/1/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733756&GUID=B43F8D91-C77E-4A57-8978-31EE4B80F1DA,,,,,,,,
11,Housing and Human Services Commission,11/25/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Meeting Canceled",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726297&GUID=59D960E5-285D-4653-8756-263C78B10FE6,,,,,,,,
12,Housing and Human Services Commission,11/18/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Special Meeting",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726290&GUID=7E5FD79F-37A2-4B11-8EC3-B8422055E3F9,,,,,,,,
13,City Council,11/17/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733755&GUID=5F289CDF-9512-4976-A080-898B353E66E6,,,,,,,,
14,City Council,11/10/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733754&GUID=10E1641F-2347-44EC-85CB-766AE5BC8075,,,,,,,,
15,Housing and Human Services Commission,10/28/2020,,7:00 PM,"West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=726292&GUID=3E941956-1DEB-419C-8703-47285605D8D4,,,,,,,,
16,City Council,10/27/2020,,7:00 PM,"Council Chambers and West Conference Room, City Hall, 456 W. Olive Ave., Sunnyvale, CA 94086Regular Meeting - 7 PM",Meeting details,Not available,Not available,Not available,Not available,Not available,,,View.ashx?M=IC&ID=733753&GUID=BD2F990A-719F-4C28-99CB-A4F467EBBB93,,,,,,,,
